# Experimental Run Sat Feb 09 18:21:42 ACT 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average Bits Degenerate Substring (ABDS),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Average Polyclonal Response Error (APRE),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"NaN","86.11999999999998","NaN","31.68900000000001","31.68900000000001","NaN","0.2988156869031794","0.0016134541901548839","score[0.0016134541901548839]","0.02835362823691782","752.0","0.001223948730930775","85.36000000000001","0.002835362823691782","75.2","1000","-1","1000","Epoch=1000,Best=0.002835362823691782,Worst=0.002835362823691782,Mean=0.002835362823691782,Stdev=0.0.","38484","Best=0.0016134541901548839,Worst=0.013644151279354278,Mean=0.004902048285807058,Stdev=0.0023284962825796712."
"NaN","85.46000000000001","NaN","31.675800000000002","31.675800000000002","NaN","0.3274448084903204","9.011020319433901E-4","score[9.011020319433901E-4]","0.022596134521790583","778.0","8.357216790211732E-4","82.78","0.0022596134521790582","77.8","1000","-1","1000","Epoch=1000,Best=0.0022596134521790582,Worst=0.0022596134521790582,Mean=0.0022596134521790582,Stdev=0.0.","38469","Best=9.011020319433901E-4,Worst=0.00894691048916484,Mean=0.0026442713009640416,Stdev=0.0015083496493773206."
"NaN","87.06000000000002","NaN","31.676399999999997","31.676399999999997","NaN","0.3266595442700083","0.0010660247113122045","score[0.0010660247113122045]","0.014235254283049701","760.0","5.231017233289663E-4","85.42","0.0014235254283049702","76.0","1000","-1","1000","Epoch=1000,Best=0.0014235254283049702,Worst=0.0014235254283049702,Mean=0.0014235254283049702,Stdev=0.0.","38516","Best=0.0010660247113122045,Worst=0.009621757195954976,Mean=0.0036968804880593126,Stdev=0.0019170905496528638."
"NaN","84.74","NaN","31.592200000000005","31.592200000000005","NaN","0.37210195629150983","0.0026218072121097684","score[0.0026218072121097684]","0.03959347302730539","794.0","0.0017876096091085044","85.97999999999999","0.003959347302730539","79.4","1000","-1","1000","Epoch=1000,Best=0.003959347302730539,Worst=0.003959347302730539,Mean=0.003959347302730539,Stdev=0.0.","38875","Best=0.0026218072121097684,Worst=0.009193291678657206,Mean=0.00445915879293228,Stdev=0.0012886857749961264."
"NaN","87.12000000000002","NaN","31.717200000000016","31.717200000000016","NaN","0.34786058991636704","6.782147628542035E-4","score[6.782147628542035E-4]","0.011589768164808098","764.0","4.175450751099915E-4","87.4","0.0011589768164808098","76.4","1000","-1","1000","Epoch=1000,Best=0.0011589768164808098,Worst=0.0011589768164808098,Mean=0.0011589768164808098,Stdev=0.0.","38515","Best=6.782147628542035E-4,Worst=0.007053661540536179,Mean=0.002538337762788477,Stdev=0.0016102476496931367."
"NaN","85.9","NaN","31.626200000000008","31.626200000000008","NaN","0.34108705965608527","9.524514735124988E-4","score[9.524514735124988E-4]","0.02194980359521153","778.0","9.231785203073038E-4","85.14","0.002194980359521153","77.8","1000","-1","1000","Epoch=1000,Best=0.002194980359521153,Worst=0.002194980359521153,Mean=0.002194980359521153,Stdev=0.0.","38516","Best=9.524514735124988E-4,Worst=0.008126707162105788,Mean=0.0031782357869881545,Stdev=0.0016160875947090136."
"NaN","87.4","NaN","31.594399999999993","31.594399999999993","NaN","0.31337112330176564","0.0014050095943121707","score[0.0014050095943121707]","0.017523413145511913","704.0","6.248599273186696E-4","84.91999999999999","0.0017523413145511912","70.4","1000","-1","1000","Epoch=1000,Best=0.0017523413145511912,Worst=0.0017523413145511912,Mean=0.0017523413145511912,Stdev=0.0.","38453","Best=0.0014050095943121707,Worst=0.011458620110387216,Mean=0.0033514801485396268,Stdev=0.0018762600982071005."
"NaN","83.9","NaN","31.609799999999993","31.609799999999993","NaN","0.35574169510173187","0.0020222284958000755","score[0.0020222284958000755]","0.04572601055084938","842.0","0.0017649639457308973","83.14000000000001","0.004572601055084937","84.2","1000","-1","1000","Epoch=1000,Best=0.004572601055084937,Worst=0.004572601055084937,Mean=0.004572601055084937,Stdev=0.0.","38938","Best=0.0020222284958000755,Worst=0.008544641365638076,Mean=0.0038183874555660214,Stdev=0.001194028665713057."
"NaN","87.12","NaN","31.6728","31.6728","NaN","0.32587369132488675","8.624363478469989E-4","score[8.624363478469989E-4]","0.031255105432764836","788.0","0.001149448001166044","86.28","0.0031255105432764834","78.8","1000","-1","1000","Epoch=1000,Best=0.0031255105432764834,Worst=0.0031255105432764834,Mean=0.0031255105432764834,Stdev=0.0.","38468","Best=8.624363478469989E-4,Worst=0.012028029159989222,Mean=0.00343440989491263,Stdev=0.0015164714307962753."
"NaN","86.88000000000001","NaN","31.7214","31.7214","NaN","0.3321013405085958","0.0019202451091379648","score[0.0019202451091379648]","0.026933906034043716","788.0","0.0011515999407220748","85.16","0.0026933906034043715","78.8","1000","-1","1000","Epoch=1000,Best=0.0026933906034043715,Worst=0.0026933906034043715,Mean=0.0026933906034043715,Stdev=0.0.","38485","Best=0.0019202451091379648,Worst=0.00921676058534775,Mean=0.0038429426204650615,Stdev=0.0016321695401708893."
"NaN","86.82000000000001","NaN","31.634000000000004","31.634000000000004","NaN","0.3534238085724747","0.003203426530597965","score[0.003203426530597965]","0.04327242585067566","774.0","0.001782170443769763","84.33999999999999","0.004327242585067566","77.4","1000","-1","1000","Epoch=1000,Best=0.004327242585067566,Worst=0.004327242585067566,Mean=0.004327242585067566,Stdev=0.0.","38437","Best=0.003203426530597965,Worst=0.01297639949578266,Mean=0.005870833916442259,Stdev=0.00218146637291947."
"NaN","85.56000000000002","NaN","31.657399999999992","31.657399999999992","NaN","0.35971298787301836","0.0012880079101328056","score[0.0012880079101328056]","0.013830138411352846","802.0","6.09924133253578E-4","85.4","0.0013830138411352847","80.2","1000","-1","1000","Epoch=1000,Best=0.0013830138411352847,Worst=0.0013830138411352847,Mean=0.0013830138411352847,Stdev=0.0.","38469","Best=0.0012880079101328056,Worst=0.008330229537029115,Mean=0.0024396764125523304,Stdev=0.0012631795832728568."
"NaN","87.48","NaN","31.617800000000006","31.617800000000006","NaN","0.32574389081474414","8.52130195214246E-4","score[8.52130195214246E-4]","0.012061073727854437","780.0","4.524362700642498E-4","86.51999999999998","0.0012061073727854437","78.0","1000","-1","1000","Epoch=1000,Best=0.0012061073727854437,Worst=0.0012061073727854437,Mean=0.0012061073727854437,Stdev=0.0.","38469","Best=8.52130195214246E-4,Worst=0.011169927728448369,Mean=0.003247564187144145,Stdev=0.002112878516733183."
"NaN","87.1","NaN","31.632399999999997","31.632399999999997","NaN","0.34175946359872567","0.0021344204085101716","score[0.0021344204085101716]","0.040525965443168166","846.0","0.0016385540234651285","85.7","0.004052596544316817","84.6","1000","-1","1000","Epoch=1000,Best=0.004052596544316817,Worst=0.004052596544316817,Mean=0.004052596544316817,Stdev=0.0.","38453","Best=0.0021344204085101716,Worst=0.013027630552186217,Mean=0.004557132025799446,Stdev=0.0017593977219995242."
"NaN","86.72","NaN","31.648600000000002","31.648600000000002","NaN","0.33545214447955796","5.799414903160693E-4","score[5.799414903160693E-4]","0.013290495764029306","728.0","4.6305628914979655E-4","87.28","0.0013290495764029307","72.8","1000","-1","1000","Epoch=1000,Best=0.0013290495764029307,Worst=0.0013290495764029307,Mean=0.0013290495764029307,Stdev=0.0.","38454","Best=5.799414903160693E-4,Worst=0.013043502918798208,Mean=0.0020741413985610408,Stdev=0.0017151521067059776."
"NaN","87.32","NaN","31.559200000000004","31.559200000000004","NaN","0.3602554580480451","0.0015083322049315377","score[0.0015083322049315377]","0.027043821483548523","804.0","0.0010548939265852004","85.4","0.0027043821483548522","80.4","1000","-1","1000","Epoch=1000,Best=0.0027043821483548522,Worst=0.0027043821483548522,Mean=0.0027043821483548522,Stdev=0.0.","38437","Best=0.0015083322049315377,Worst=0.013978075308325063,Mean=0.004959038619185389,Stdev=0.0021867914667883636."
"NaN","86.25999999999999","NaN","31.578799999999983","31.578799999999983","NaN","0.3162556710289565","0.0013263375424182398","score[0.0013263375424182398]","0.02789601339056202","754.0","0.0011220207400096586","86.9","0.002789601339056202","75.4","1000","-1","1000","Epoch=1000,Best=0.002789601339056202,Worst=0.002789601339056202,Mean=0.002789601339056202,Stdev=0.0.","38500","Best=0.0013263375424182398,Worst=0.009478704257277242,Mean=0.0033032991762829145,Stdev=0.0013133824356542727."
