# Experimental Run Sat Feb 09 18:36:06 ACT 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average Bits Degenerate Substring (ABDS),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Average Polyclonal Response Error (APRE),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"NaN","86.85999999999999","NaN","31.655137230894812","31.655137230894812","NaN","0.31997249851679005","0.006963961708251374","score[0.006963961708251374]","0.1724323512747977","822.0","0.007156688673245605","84.22","0.01724323512747977","82.2","1000","-1","1000","Epoch=1000,Best=0.01724323512747977,Worst=0.01724323512747977,Mean=0.01724323512747977,Stdev=0.0.","28765","Best=0.006963961708251374,Worst=0.037760346063151574,Mean=0.01596666533993471,Stdev=0.005319309101873334."
"NaN","85.58","NaN","31.675135190286706","31.675135190286706","NaN","0.3003810987508675","0.005513386722788613","score[0.005513386722788613]","0.058313276738212655","834.0","0.0023439806430909883","85.1","0.005831327673821265","83.4","1000","-1","1000","Epoch=1000,Best=0.005831327673821265,Worst=0.005831327673821265,Mean=0.005831327673821265,Stdev=0.0.","28719","Best=0.005513386722788613,Worst=0.04208769368103353,Mean=0.013294203541248885,Stdev=0.004815276888976156."
"NaN","86.64","NaN","31.521681461075406","31.521681461075406","NaN","0.34237994293554935","0.004623703490245402","score[0.004623703490245402]","0.06862743778881261","758.0","0.0026619221467803515","86.36","0.006862743778881261","75.8","1000","-1","1000","Epoch=1000,Best=0.006862743778881261,Worst=0.006862743778881261,Mean=0.006862743778881261,Stdev=0.0.","28766","Best=0.004623703490245402,Worst=0.03871447204100316,Mean=0.010758593279857325,Stdev=0.0057586558875389465."
"NaN","85.86","NaN","31.725742271196832","31.725742271196832","NaN","0.32965239255164464","0.0033107443069730646","score[0.0033107443069730646]","0.05737043007223881","810.0","0.00201152045725764","85.22","0.005737043007223881","81.0","1000","-1","1000","Epoch=1000,Best=0.005737043007223881,Worst=0.005737043007223881,Mean=0.005737043007223881,Stdev=0.0.","28734","Best=0.0033107443069730646,Worst=0.02621461123268422,Mean=0.010183841878543539,Stdev=0.0043840344612831855."
"NaN","84.9","NaN","31.617590041832457","31.617590041832457","NaN","0.33338957604514985","0.006473623227003738","score[0.006473623227003738]","0.13919432758109618","846.0","0.004884992940330013","86.14","0.013919432758109617","84.6","1000","-1","1000","Epoch=1000,Best=0.013919432758109617,Worst=0.013919432758109617,Mean=0.013919432758109617,Stdev=0.0.","29141","Best=0.006473623227003738,Worst=0.034248830588412604,Mean=0.01205638221394646,Stdev=0.003562050949510623."
"NaN","86.5","NaN","31.60942760942762","31.60942760942762","NaN","0.3211566917028151","0.002820727895102594","score[0.002820727895102594]","0.0631238438318271","770.0","0.0022189276754937134","85.97999999999999","0.00631238438318271","77.0","1000","-1","1000","Epoch=1000,Best=0.00631238438318271,Worst=0.00631238438318271,Mean=0.00631238438318271,Stdev=0.0.","28765","Best=0.002820727895102594,Worst=0.035167495765669674,Mean=0.008090102492337357,Stdev=0.005244541601088584."
"NaN","85.46000000000001","NaN","31.65105601469237","31.65105601469237","NaN","0.3489198041416946","0.005604302559672993","score[0.005604302559672993]","0.07836116948185554","766.0","0.0032896949151157706","86.1","0.007836116948185553","76.6","1000","-1","1000","Epoch=1000,Best=0.007836116948185553,Worst=0.007836116948185553,Mean=0.007836116948185553,Stdev=0.0.","28750","Best=0.005604302559672993,Worst=0.027913069029136428,Mean=0.012554422000931867,Stdev=0.004040171182721696."
"NaN","86.7","NaN","31.651056014692365","31.651056014692365","NaN","0.3326156458980911","0.006003089623271325","score[0.006003089623271325]","0.1399441097803089","830.0","0.005823312912256873","86.1","0.013994410978030891","83.0","1000","-1","1000","Epoch=1000,Best=0.013994410978030891,Worst=0.013994410978030891,Mean=0.013994410978030891,Stdev=0.0.","28766","Best=0.006003089623271325,Worst=0.035598140415694375,Mean=0.01261415340962431,Stdev=0.0052501538390936206."
"NaN","86.64000000000001","NaN","31.625344352617077","31.625344352617077","NaN","0.29601962262206205","0.004122432117991082","score[0.004122432117991082]","0.08652366048146026","786.0","0.0037398198548726043","85.52000000000001","0.008652366048146027","78.6","1000","-1","1000","Epoch=1000,Best=0.008652366048146027,Worst=0.008652366048146027,Mean=0.008652366048146027,Stdev=0.0.","28750","Best=0.004122432117991082,Worst=0.022800059204205546,Mean=0.008568796779332494,Stdev=0.0032367003776535767."
"NaN","85.58","NaN","31.71390674420977","31.71390674420977","NaN","0.3310823757312648","0.004411439772771862","score[0.004411439772771862]","0.06315322133378806","815.0","0.002655108010139002","85.2","0.006315322133378806","81.5","1000","-1","1000","Epoch=1000,Best=0.006315322133378806,Worst=0.006315322133378806,Mean=0.006315322133378806,Stdev=0.0.","28891","Best=0.004411439772771862,Worst=0.028788732103113356,Mean=0.010458804519910365,Stdev=0.0046965407651949455."
"NaN","86.38000000000002","NaN","31.70207121722273","31.70207121722273","NaN","0.33470474398062233","0.004161633261154795","score[0.004161633261154795]","0.05514658007759223","822.0","0.002078676910504027","84.14","0.005514658007759223","82.2","1000","-1","1000","Epoch=1000,Best=0.005514658007759223,Worst=0.005514658007759223,Mean=0.005514658007759223,Stdev=0.0.","28719","Best=0.004161633261154795,Worst=0.024349128883780668,Mean=0.00887858552408085,Stdev=0.0038499538471322156."
"NaN","87.57999999999998","NaN","31.58657279869402","31.58657279869402","NaN","0.3458270938522448","0.003606007997629123","score[0.003606007997629123]","0.12234399927142342","822.0","0.004377278839544078","85.54","0.012234399927142342","82.2","1000","-1","1000","Epoch=1000,Best=0.012234399927142342,Worst=0.012234399927142342,Mean=0.012234399927142342,Stdev=0.0.","28875","Best=0.003606007997629123,Worst=0.030994507676636057,Mean=0.01072435708903858,Stdev=0.005516470275705248."
"NaN","86.28","NaN","31.559228650137737","31.559228650137737","NaN","0.34505109322932725","0.005434866810627593","score[0.005434866810627593]","0.09758419860289025","830.0","0.0035509801963738334","86.64000000000001","0.009758419860289025","83.0","1000","-1","1000","Epoch=1000,Best=0.009758419860289025,Worst=0.009758419860289025,Mean=0.009758419860289025,Stdev=0.0.","28750","Best=0.005434866810627593,Worst=0.03475871221350734,Mean=0.014154803197097672,Stdev=0.005353291288199095."
"NaN","86.11999999999998","NaN","31.599632690541778","31.599632690541778","NaN","0.29793921555981867","0.0021880468748141837","score[0.0021880468748141837]","0.046497967634678256","794.0","0.002008836608695598","83.88000000000001","0.004649796763467826","79.4","1000","-1","1000","Epoch=1000,Best=0.004649796763467826,Worst=0.004649796763467826,Mean=0.004649796763467826,Stdev=0.0.","28875","Best=0.0021880468748141837,Worst=0.026675574823168118,Mean=0.007036449882183491,Stdev=0.0035773448173496477."
"NaN","85.46000000000001","NaN","31.68574635241303","31.68574635241303","NaN","0.32657785376096726","0.0022928418309429593","score[0.0022928418309429593]","0.06823870733748741","778.0","0.002334299191239378","85.98","0.006823870733748741","77.8","1000","-1","1000","Epoch=1000,Best=0.006823870733748741,Worst=0.006823870733748741,Mean=0.006823870733748741,Stdev=0.0.","28750","Best=0.0022928418309429593,Worst=0.026990175729679267,Mean=0.007136809582133709,Stdev=0.004166270873187074."
"NaN","87.06000000000002","NaN","31.563717987960416","31.563717987960416","NaN","0.32898693097267645","0.0015480331935987994","score[0.0015480331935987994]","0.06930750031368023","796.0","0.0023696668907513077","86.66","0.006930750031368023","79.6","1000","-1","1000","Epoch=1000,Best=0.006930750031368023,Worst=0.006930750031368023,Mean=0.006930750031368023,Stdev=0.0.","28734","Best=0.0015480331935987994,Worst=0.032095067846494976,Mean=0.008167788742470998,Stdev=0.0035292367965837827."
"NaN","84.74","NaN","31.584124068972546","31.584124068972546","NaN","0.37366492645193977","0.00851939934267833","score[0.00851939934267833]","0.10596807890843953","804.0","0.004113948824610502","82.38","0.010596807890843952","80.4","1000","-1","1000","Epoch=1000,Best=0.010596807890843952,Worst=0.010596807890843952,Mean=0.010596807890843952,Stdev=0.0.","28734","Best=0.00851939934267833,Worst=0.045607097596490655,Mean=0.015340397683816408,Stdev=0.005912393352334441."
"NaN","87.12000000000002","NaN","31.58249158249159","31.58249158249159","NaN","0.34539962580716127","0.008361610225159164","score[0.008361610225159164]","0.11613675355094671","834.0","0.005075253723433146","85.63999999999999","0.011613675355094671","83.4","1000","-1","1000","Epoch=1000,Best=0.011613675355094671,Worst=0.011613675355094671,Mean=0.011613675355094671,Stdev=0.0.","28750","Best=0.008361610225159164,Worst=0.023733178677149216,Mean=0.013775794618431102,Stdev=0.002781270150668489."
"NaN","85.9","NaN","31.67391082542597","31.67391082542597","NaN","0.34424092667090195","0.0020629263045034946","score[0.0020629263045034946]","0.04209181336891412","748.0","0.0015291915391792805","86.89999999999999","0.004209181336891412","74.8","1000","-1","1000","Epoch=1000,Best=0.004209181336891412,Worst=0.004209181336891412,Mean=0.004209181336891412,Stdev=0.0.","28781","Best=0.0020629263045034946,Worst=0.035312892947275396,Mean=0.006946282714289138,Stdev=0.004938613911971395."
"NaN","87.4","NaN","31.664115906540157","31.664115906540157","NaN","0.31022843742233197","0.005299696820686438","score[0.005299696820686438]","0.09199487554500996","826.0","0.0038526484054407896","83.6","0.009199487554500996","82.6","1000","-1","1000","Epoch=1000,Best=0.009199487554500996,Worst=0.009199487554500996,Mean=0.009199487554500996,Stdev=0.0.","28813","Best=0.005299696820686438,Worst=0.03832241711315472,Mean=0.013653754189381797,Stdev=0.0062127935914215796."
"NaN","83.9","NaN","31.651464136312633","31.651464136312633","NaN","0.36011243783961583","0.007154875843356809","score[0.007154875843356809]","0.09680650176122266","830.0","0.003906536429093161","80.86000000000001","0.009680650176122265","83.0","1000","-1","1000","Epoch=1000,Best=0.009680650176122265,Worst=0.009680650176122265,Mean=0.009680650176122265,Stdev=0.0.","28765","Best=0.007154875843356809,Worst=0.024589963838539945,Mean=0.011937001012303963,Stdev=0.00287983211969274."
