# Experimental Run Fri Jan 25 11:44:44 ACT 2008
Average Error Euclidean,Average Error Hamming,Average Host Diversity (AHD),Average Host Error (AHE),Best Score,Best Solution,Diversity Optima,Diversity Solution,Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Population Diversity (PD),Population Error (PE),RMSE Euclidean,RMSE Hamming,Run Time Milliseconds,Score Summary
"0.10405389891584993","95.6","89.58127999999999","0.1542352130911026","0.06565636336820459","score[0.06565636336820459]","86.86","86.22","9999","Unsupported","9999","Epoch=9999,Best=0.10405389891584993,Worst=0.10405389891584993,Mean=0.10405389891584993,Stdev=0.0.","1131.0","0.10405389891584993","0.38033573426048733","302.76063152266016","891375","Best=0.06565636336820459,Worst=0.21191266537000325,Mean=0.12406242789756454,Stdev=0.020302655955507655."
"0.09386584443167388","94.0","90.27872","0.15233096551105413","0.06748323026516646","score[0.06748323026516646]","85.58","87.86000000000001","9999","Unsupported","9999","Epoch=9999,Best=0.09386584443167388,Worst=0.09386584443167388,Mean=0.09386584443167388,Stdev=0.0.","1045.7199999999998","0.09386584443167388","0.3162162108076688","298.2213942694253","891688","Best=0.06748323026516646,Worst=0.2075253319750215,Mean=0.12456186944407113,Stdev=0.021323986295262."
"0.105006024493366","96.0","89.85664000000001","0.16624865346442436","0.0713880341668793","score[0.0713880341668793]","86.64","86.84","9999","Unsupported","9999","Epoch=9999,Best=0.105006024493366,Worst=0.105006024493366,Mean=0.105006024493366,Stdev=0.0.","1119.72","0.105006024493366","0.366807310285922","303.76306556261903","890859","Best=0.0713880341668793,Worst=0.21887580529533093,Mean=0.14320302677138014,Stdev=0.022342405903982142."
"0.11765554375236398","92.8","91.04968000000001","0.15932922021842905","0.06036673067290717","score[0.06036673067290717]","85.86","83.98","9999","Unsupported","9999","Epoch=9999,Best=0.11765554375236398,Worst=0.11765554375236398,Mean=0.11765554375236398,Stdev=0.0.","895.4200000000001","0.11765554375236398","0.41851215489688587","293.7345740630476","891375","Best=0.06036673067290717,Worst=0.20975771295896242,Mean=0.12382488014938059,Stdev=0.02158473111233708."
"0.11996349530605228","90.4","88.81447999999999","0.16800355665849317","0.07570115052590429","score[0.07570115052590429]","84.9","86.10000000000001","9999","Unsupported","9999","Epoch=9999,Best=0.11996349530605228,Worst=0.11996349530605228,Mean=0.11996349530605228,Stdev=0.0.","1197.06","0.11996349530605228","0.43914409173452346","286.52399550473956","891765","Best=0.07570115052590429,Worst=0.21535605270983926,Mean=0.13376817543928515,Stdev=0.022966203062876903."
"0.08322296733723868","91.2","90.10551999999998","0.1526605724632207","0.062001688841842297","score[0.062001688841842297]","86.5","84.34","9999","Unsupported","9999","Epoch=9999,Best=0.08322296733723868,Worst=0.08322296733723868,Mean=0.08322296733723868,Stdev=0.0.","1034.22","0.08322296733723868","0.2895705844588635","289.3717332428999","891532","Best=0.062001688841842297,Worst=0.20653807014748438,Mean=0.13113099901575767,Stdev=0.0221829240683965."
"0.10570689437302472","95.6","90.26383999999999","0.15630142471992634","0.07123231428216877","score[0.07123231428216877]","85.46","85.77999999999999","9999","Unsupported","9999","Epoch=9999,Best=0.10570689437302472,Worst=0.10570689437302472,Mean=0.10570689437302472,Stdev=0.0.","1055.2800000000002","0.10570689437302472","0.4202492532042129","302.60204890251487","891953","Best=0.07123231428216877,Worst=0.22710997114863493,Mean=0.13718987630433851,Stdev=0.024336862988908785."
"0.10313671252445249","89.6","90.87088000000001","0.1652576902437892","0.07400161928837412","score[0.07400161928837412]","86.7","84.38","9999","Unsupported","9999","Epoch=9999,Best=0.10313671252445249,Worst=0.10313671252445249,Mean=0.10313671252445249,Stdev=0.0.","953.8","0.10313671252445249","0.3547216180997997","283.77455840860716","890515","Best=0.07400161928837412,Worst=0.2161626878954377,Mean=0.13521111150063028,Stdev=0.021831912532766357."
"0.10092833871586812","90.2","90.53343999999997","0.13514984883725809","0.05652544721974047","score[0.05652544721974047]","86.64","87.4","9999","Unsupported","9999","Epoch=9999,Best=0.10092833871586812,Worst=0.10092833871586812,Mean=0.10092833871586812,Stdev=0.0.","1034.32","0.10092833871586812","0.4249853441809896","285.76213884977835","891219","Best=0.05652544721974047,Worst=0.1979734278873931,Mean=0.11722557764315342,Stdev=0.021178958503391892."
"0.10111604883950091","91.8","90.15520000000001","0.16245231175318267","0.07148281845759721","score[0.07148281845759721]","85.58","87.9","9999","Unsupported","9999","Epoch=9999,Best=0.10111604883950091,Worst=0.10111604883950091,Mean=0.10111604883950091,Stdev=0.0.","1095.44","0.10111604883950091","0.35632271963212653","291.1425767557882","891906","Best=0.07148281845759721,Worst=0.22217045653462802,Mean=0.1320511190524014,Stdev=0.023650740744185886."
"0.12159131251489359","90.4","90.72312","0.1643202133398797","0.06676694652376977","score[0.06676694652376977]","86.38","86.78","9999","Unsupported","9999","Epoch=9999,Best=0.12159131251489359,Worst=0.12159131251489359,Mean=0.12159131251489359,Stdev=0.0.","988.54","0.12159131251489359","0.4524779287824258","286.048946860498","891735","Best=0.06676694652376977,Worst=0.2283330973878901,Mean=0.1398136468929988,Stdev=0.02419965995665146."
"0.12019349573052163","93.2","90.06503999999998","0.18998937312540765","0.08644887304035745","score[0.08644887304035745]","87.58","87.34","9999","Unsupported","9999","Epoch=9999,Best=0.12019349573052163,Worst=0.12019349573052163,Mean=0.12019349573052163,Stdev=0.0.","1071.42","0.12019349573052163","0.4292238949961874","295.526648544594","891640","Best=0.08644887304035745,Worst=0.22018637206973257,Mean=0.14329859164973974,Stdev=0.02295513912770676."
