# Experimental Run Wed Feb 06 23:24:32 ACT 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average BMU Per Antigen (ABMU/Antigen),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"0.09315813833863772","0.0","1.0","0.0","0.0","0.09315813833863772","0.09315813833863772","score[0.09315813833863772]","0.09315813833863772","84.0","0.04520444852770741","0.0","0.09315813833863772","84.0","1000","-1","1000","Epoch=1000,Best=0.09315813833863772,Worst=0.09315813833863772,Mean=0.09315813833863772,Stdev=0.0.","360","Best=0.09315813833863772,Worst=1.3190249343826435,Mean=0.10705778082449169,Stdev=0.09606490847767184."
"0.18192326726056196","0.0","1.0","0.0","0.0","0.18192326726056196","0.18192326726056196","score[0.18192326726056196]","0.18192326726056196","98.0","0.09527679198684204","0.0","0.18192326726056196","98.0","1000","-1","1000","Epoch=1000,Best=0.18192326726056196,Worst=0.18192326726056196,Mean=0.18192326726056196,Stdev=0.0.","266","Best=0.18192326726056196,Worst=0.40038241379406697,Mean=0.21901977034765843,Stdev=0.044801054016416."
"0.20957604659806803","0.0","1.0","0.0","0.0","0.20957604659806803","0.20957604659806803","score[0.20957604659806803]","0.20957604659806803","110.0","0.08450977484499696","0.0","0.20957604659806803","110.0","1000","-1","1000","Epoch=1000,Best=0.20957604659806803,Worst=0.20957604659806803,Mean=0.20957604659806803,Stdev=0.0.","250","Best=0.20957604659806803,Worst=0.5032017052911268,Mean=0.3032202881621206,Stdev=0.09398152421724004."
"0.10670261128289055","0.0","1.0","0.0","0.0","0.10670261128289055","0.10670261128289055","score[0.10670261128289055]","0.10670261128289055","86.0","0.04294275566891955","0.0","0.10670261128289055","86.0","1000","-1","1000","Epoch=1000,Best=0.10670261128289055,Worst=0.10670261128289055,Mean=0.10670261128289055,Stdev=0.0.","250","Best=0.10670261128289055,Worst=0.826014215972608,Mean=0.32963969363485324,Stdev=0.09833906650928184."
"0.204408637060339","0.0","1.0","0.0","0.0","0.204408637060339","0.204408637060339","score[0.204408637060339]","0.204408637060339","92.0","0.1127835897778361","0.0","0.204408637060339","92.0","1000","-1","1000","Epoch=1000,Best=0.204408637060339,Worst=0.204408637060339,Mean=0.204408637060339,Stdev=0.0.","266","Best=0.204408637060339,Worst=0.4133062763008253,Mean=0.2742818904240274,Stdev=0.07394813243234369."
"0.21362322109350074","0.0","1.0","0.0","0.0","0.21362322109350074","0.21362322109350074","score[0.21362322109350074]","0.21362322109350074","86.0","0.09079635518564934","0.0","0.21362322109350074","86.0","1000","-1","1000","Epoch=1000,Best=0.21362322109350074,Worst=0.21362322109350074,Mean=0.21362322109350074,Stdev=0.0.","266","Best=0.21362322109350074,Worst=0.7155492671576236,Mean=0.25158653729287633,Stdev=0.0534699298993472."
"0.053115691426615076","0.0","1.0","0.0","0.0","0.053115691426615076","0.053115691426615076","score[0.053115691426615076]","0.053115691426615076","90.0","0.025009061280833245","0.0","0.053115691426615076","90.0","1000","-1","1000","Epoch=1000,Best=0.053115691426615076,Worst=0.053115691426615076,Mean=0.053115691426615076,Stdev=0.0.","250","Best=0.053115691426615076,Worst=0.1791783337460177,Mean=0.08006461068937497,Stdev=0.03640892968905376."
"0.16106481106423534","0.0","1.0","0.0","0.0","0.16106481106423534","0.16106481106423534","score[0.16106481106423534]","0.16106481106423534","94.0","0.08668933696890253","0.0","0.16106481106423534","94.0","1000","-1","1000","Epoch=1000,Best=0.16106481106423534,Worst=0.16106481106423534,Mean=0.16106481106423534,Stdev=0.0.","250","Best=0.16106481106423534,Worst=0.7756216819944447,Mean=0.23157540096248838,Stdev=0.050447270689504296."
"0.24479525062788796","0.0","1.0","0.0","0.0","0.24479525062788796","0.24479525062788796","score[0.24479525062788796]","0.24479525062788796","100.0","0.1354135844425506","0.0","0.24479525062788796","100.0","1000","-1","1000","Epoch=1000,Best=0.24479525062788796,Worst=0.24479525062788796,Mean=0.24479525062788796,Stdev=0.0.","266","Best=0.24479525062788796,Worst=0.5440455966904831,Mean=0.2813568327062354,Stdev=0.0413530046125489."
"0.20005306574486323","0.0","1.0","0.0","0.0","0.20005306574486323","0.20005306574486323","score[0.20005306574486323]","0.20005306574486323","92.0","0.09570276929179418","0.0","0.20005306574486323","92.0","1000","-1","1000","Epoch=1000,Best=0.20005306574486323,Worst=0.20005306574486323,Mean=0.20005306574486323,Stdev=0.0.","250","Best=0.20005306574486323,Worst=0.6832323890891647,Mean=0.22431158312467134,Stdev=0.025591758979986546."
