# Experimental Run Sun Jan 20 08:50:53 ACT 2008
Average Error Euclidean,Average Error Hamming,Best Score,Best Solution,Diversity Optima,Diversity Solution,Average Tissue Diversity (ATD),Epoch Count,EpochLocatedOptimalScore,Average Tissue Error (ATE),Evaluation Count,Host Diversity (HD),Host Error (HE),Last Epoch Summary,RMSE Euclidean,RMSE Hamming,Run Time Milliseconds,Score Summary
"0.15370317818983964","95.5","0.10091485306337553","score[0.10091485306337553]","86.86","80.76000000000002","93.75224000000001","1000","Unsupported","0.15252229758126318","1000","568.8199999999999","0.15370317818983964","Epoch=1000,Best=0.15370317818983964,Worst=0.15370317818983964,Mean=0.15370317818983964,Stdev=0.0.","0.5331376030013615","303.03300150313663","87953","Best=0.10091485306337553,Worst=0.23574586123692587,Mean=0.14930241441417202,Stdev=0.02401636644382933."
"0.1579501861611803","92.8","0.10249062522578493","score[0.10249062522578493]","85.58","83.06","93.95976","1000","Unsupported","0.1561504133629677","1000","534.42","0.1579501861611803","Epoch=1000,Best=0.1579501861611803,Worst=0.1579501861611803,Mean=0.1579501861611803,Stdev=0.0.","0.5644277636919544","293.85370509830227","88656","Best=0.10249062522578493,Worst=0.23389590789760356,Mean=0.14924366438794645,Stdev=0.018245693088433153."
"0.14839195806570843","95.1","0.11713968846920357","score[0.11713968846920357]","86.64","78.41999999999999","93.94144","1000","Unsupported","0.17028396393447337","1000","558.8799999999999","0.14839195806570843","Epoch=1000,Best=0.14839195806570843,Worst=0.14839195806570843,Mean=0.14839195806570843,Stdev=0.0.","0.5411838941242875","301.25902476108496","88828","Best=0.11713968846920357,Worst=0.24100602629080475,Mean=0.1651501348979177,Stdev=0.019470211175802755."
"0.16720533164519746","96.8","0.10803945798821271","score[0.10803945798821271]","85.86","81.22","93.68903999999999","1000","Unsupported","0.15764826126747622","1000","579.6600000000001","0.16720533164519746","Epoch=1000,Best=0.16720533164519746,Worst=0.16720533164519746,Mean=0.16720533164519746,Stdev=0.0.","0.6203895963050078","306.6952885194032","88234","Best=0.10803945798821271,Worst=0.23362540149026434,Mean=0.16275041208993127,Stdev=0.020262626422875022."
"0.1825376826042754","97.1","0.13208424654848677","score[0.13208424654848677]","84.9","78.8","93.77784","1000","Unsupported","0.16066051525032454","1000","571.62","0.1825376826042754","Epoch=1000,Best=0.1825376826042754,Worst=0.1825376826042754,Mean=0.1825376826042754,Stdev=0.0.","0.5965179592070676","307.75802182883876","89172","Best=0.13208424654848677,Worst=0.22413874050465482,Mean=0.16744298203552585,Stdev=0.015907680603488985."
"0.21821159490376912","98.2","0.14432969534756537","score[0.14432969534756537]","86.5","80.25999999999999","93.77648","1000","Unsupported","0.22362107237152656","1000","587.9599999999999","0.21821159490376912","Epoch=1000,Best=0.21821159490376912,Worst=0.21821159490376912,Mean=0.21821159490376912,Stdev=0.0.","0.7281601943214588","311.1301978272119","88359","Best=0.14432969534756537,Worst=0.2752161906945978,Mean=0.21821115562351562,Stdev=0.01532207325310999."
"0.17354094558013014","94.1","0.09901200655136717","score[0.09901200655136717]","85.46","76.96000000000001","93.82727999999999","1000","Unsupported","0.15050157021258023","1000","569.22","0.17354094558013014","Epoch=1000,Best=0.17354094558013014,Worst=0.17354094558013014,Mean=0.17354094558013014,Stdev=0.0.","0.6233937204701698","297.92448707684304","88375","Best=0.09901200655136717,Worst=0.22890334286228758,Mean=0.1579981690371631,Stdev=0.020135332724877733."
"0.18644182838667808","96.4","0.12832787081624608","score[0.12832787081624608]","86.7","84.42","93.73664","1000","Unsupported","0.18547872440129345","1000","599.64","0.18644182838667808","Epoch=1000,Best=0.18644182838667808,Worst=0.18644182838667808,Mean=0.18644182838667808,Stdev=0.0.","0.6290423386458346","305.42102088756104","87969","Best=0.12832787081624608,Worst=0.25917171634074876,Mean=0.1892366035147842,Stdev=0.017068571585313965."
"0.15608439683240394","91.5","0.11233524788909637","score[0.11233524788909637]","86.64","83.82000000000001","94.01416","1000","Unsupported","0.16213099714065485","1000","554.86","0.15608439683240394","Epoch=1000,Best=0.15608439683240394,Worst=0.15608439683240394,Mean=0.15608439683240394,Stdev=0.0.","0.5298761652856275","289.9568933479596","88516","Best=0.11233524788909637,Worst=0.23304350857093276,Mean=0.1635921446545153,Stdev=0.01700898611508792."
"0.1463366833855944","94.3","0.10938332019196448","score[0.10938332019196448]","85.58","80.64000000000001","94.07416000000002","1000","Unsupported","0.1679167695381529","1000","547.4599999999999","0.1463366833855944","Epoch=1000,Best=0.1463366833855944,Worst=0.1463366833855944,Mean=0.1463366833855944,Stdev=0.0.","0.49117095438689756","298.8026104303642","88250","Best=0.10938332019196448,Worst=0.23096345351748773,Mean=0.15833796275842305,Stdev=0.017471475852560148."
"0.15999303435218226","92.5","0.09237652641366119","score[0.09237652641366119]","86.38","88.04","93.68592","1000","Unsupported","0.15659389098903115","1000","574.96","0.15999303435218226","Epoch=1000,Best=0.15999303435218226,Worst=0.15999303435218226,Mean=0.15999303435218226,Stdev=0.0.","0.5845792392230705","293.07507570586756","87812","Best=0.09237652641366119,Worst=0.23723301644278752,Mean=0.16023075140996768,Stdev=0.01967389451056621."
"0.16797662262015328","96.2","0.12086704771763368","score[0.12086704771763368]","87.58","82.66","93.96480000000001","1000","Unsupported","0.17542235361870193","1000","563.72","0.16797662262015328","Epoch=1000,Best=0.16797662262015328,Worst=0.16797662262015328,Mean=0.16797662262015328,Stdev=0.0.","0.5364370676679068","304.6932884065548","87922","Best=0.12086704771763368,Worst=0.24054046803658585,Mean=0.17762687834149293,Stdev=0.02014157708319409."
"0.1446118280319053","95.3","0.11271941073868019","score[0.11271941073868019]","86.28","80.9","93.90896000000001","1000","Unsupported","0.1501937771706508","1000","582.88","0.1446118280319053","Epoch=1000,Best=0.1446118280319053,Worst=0.1446118280319053,Mean=0.1446118280319053,Stdev=0.0.","0.4981474736170314","302.0546308203203","87844","Best=0.11271941073868019,Worst=0.23449573742735694,Mean=0.15914592576686248,Stdev=0.01779202345328614."
"0.1599065507191007","94.7","0.11332594115154242","score[0.11332594115154242]","86.12","79.46","93.85840000000002","1000","Unsupported","0.1512285758344521","1000","580.84","0.1599065507191007","Epoch=1000,Best=0.1599065507191007,Worst=0.1599065507191007,Mean=0.1599065507191007,Stdev=0.0.","0.5568368246810751","300.46796834271703","87938","Best=0.11332594115154242,Worst=0.23099080292392965,Mean=0.15673917220119565,Stdev=0.016742671848649415."
"0.21562161428422852","98.2","0.1120683938135364","score[0.1120683938135364]","85.46","80.53999999999999","93.96495999999999","1000","Unsupported","0.16635442704290976","1000","591.08","0.21562161428422852","Epoch=1000,Best=0.21562161428422852,Worst=0.21562161428422852,Mean=0.21562161428422852,Stdev=0.0.","0.7188325815762049","311.40648676609163","87938","Best=0.1120683938135364,Worst=0.22083074404197162,Mean=0.16492562709145883,Stdev=0.017198356383026005."
"0.12298496326134567","95.7","0.1085111788391215","score[0.1085111788391215]","87.06","83.84","93.64752","1000","Unsupported","0.15988138459716764","1000","585.9999999999999","0.12298496326134567","Epoch=1000,Best=0.12298496326134567,Worst=0.12298496326134567,Mean=0.12298496326134567,Stdev=0.0.","0.42024517914109527","303.18476215007905","87859","Best=0.1085111788391215,Worst=0.2588834542213875,Mean=0.16244120203256418,Stdev=0.021014028194187014."
"0.148735658331967","91.4","0.14565678212743077","score[0.14565678212743077]","84.74","81.26","93.85504","1000","Unsupported","0.193802890394342","1000","566.04","0.148735658331967","Epoch=1000,Best=0.148735658331967,Worst=0.148735658331967,Mean=0.148735658331967,Stdev=0.0.","0.4803863185066332","290.1206645518378","88469","Best=0.14565678212743077,Worst=0.2905106235198772,Mean=0.19831749138123617,Stdev=0.027813279881735594."
"0.15425017215563777","92.8","0.12650188775417473","score[0.12650188775417473]","87.12","75.0","93.70127999999998","1000","Unsupported","0.16699542744129464","1000","579.12","0.15425017215563777","Epoch=1000,Best=0.15425017215563777,Worst=0.15425017215563777,Mean=0.15425017215563777,Stdev=0.0.","0.501231072327185","294.33654207386485","88000","Best=0.12650188775417473,Worst=0.22527540092437812,Mean=0.16773985479380482,Stdev=0.016158462761418392."
"0.1492876588901661","92.2","0.10521208564496898","score[0.10521208564496898]","85.9","83.33999999999999","93.84848","1000","Unsupported","0.16522755459584598","1000","567.2","0.1492876588901661","Epoch=1000,Best=0.1492876588901661,Worst=0.1492876588901661,Mean=0.1492876588901661,Stdev=0.0.","0.523465352172123","292.03082029128365","87953","Best=0.10521208564496898,Worst=0.22167649016034713,Mean=0.16707867927119108,Stdev=0.01824425976505796."
"0.17659230671773699","92.0","0.09484297277461387","score[0.09484297277461387]","87.4","82.52","93.91376000000001","1000","Unsupported","0.1577572916839541","1000","560.1600000000001","0.17659230671773699","Epoch=1000,Best=0.17659230671773699,Worst=0.17659230671773699,Mean=0.17659230671773699,Stdev=0.0.","0.6219748497175998","291.6093276971778","87922","Best=0.09484297277461387,Worst=0.23713366207961686,Mean=0.15582837741776923,Stdev=0.021477715618724625."
"0.1598964364701162","92.0","0.10592748510713283","score[0.10592748510713283]","83.9","79.58000000000001","93.67479999999998","1000","Unsupported","0.15690559704215923","1000","598.02","0.1598964364701162","Epoch=1000,Best=0.1598964364701162,Worst=0.1598964364701162,Mean=0.1598964364701162,Stdev=0.0.","0.5550984891611159","292.0410929989134","88297","Best=0.10592748510713283,Worst=0.23711382497854488,Mean=0.15894100421348498,Stdev=0.022013272863932294."
"0.17932415280972427","93.3","0.1239357896963579","score[0.1239357896963579]","87.12","81.25999999999999","93.72687999999998","1000","Unsupported","0.17214164594216125","1000","571.6","0.17932415280972427","Epoch=1000,Best=0.17932415280972427,Worst=0.17932415280972427,Mean=0.17932415280972427,Stdev=0.0.","0.6183570990172743","295.7651095041469","88031","Best=0.1239357896963579,Worst=0.23907463178948837,Mean=0.17681357334557812,Stdev=0.0183605384724123."
"0.18108134832899048","94.0","0.12055524518564624","score[0.12055524518564624]","86.88","77.24000000000001","93.63808","1000","Unsupported","0.19101012160968672","1000","593.4399999999999","0.18108134832899048","Epoch=1000,Best=0.18108134832899048,Worst=0.18108134832899048,Mean=0.18108134832899048,Stdev=0.0.","0.6684475063476003","298.38900784043636","88172","Best=0.12055524518564624,Worst=0.2721093348571909,Mean=0.1863162476668823,Stdev=0.021001559930862754."
"0.18371828455079772","92.6","0.12282305913811697","score[0.12282305913811697]","86.82","71.86","93.87848","1000","Unsupported","0.1774155556217436","1000","565.5","0.18371828455079772","Epoch=1000,Best=0.18371828455079772,Worst=0.18371828455079772,Mean=0.18371828455079772,Stdev=0.0.","0.6030105677998107","293.2268746210006","87938","Best=0.12282305913811697,Worst=0.2614467541035585,Mean=0.18590732850661926,Stdev=0.025094746860372576."
"0.19500257794937498","96.5","0.12337990700983972","score[0.12337990700983972]","85.56","82.58","93.9844","1000","Unsupported","0.1929245113130037","1000","571.9799999999999","0.19500257794937498","Epoch=1000,Best=0.19500257794937498,Worst=0.19500257794937498,Mean=0.19500257794937498,Stdev=0.0.","0.674210726574344","306.25316324896954","88406","Best=0.12337990700983972,Worst=0.26464525648604603,Mean=0.19188765025137083,Stdev=0.01923275491160035."
"0.1699024867921373","96.6","0.14500853754626755","score[0.14500853754626755]","87.48","79.2","93.74744000000001","1000","Unsupported","0.1910013405043258","1000","570.3","0.1699024867921373","Epoch=1000,Best=0.1699024867921373,Worst=0.1699024867921373,Mean=0.1699024867921373,Stdev=0.0.","0.565672470381011","306.04574821421716","88562","Best=0.14500853754626755,Worst=0.2334930816091673,Mean=0.18658975622868412,Stdev=0.015367720974428654."
"0.1376957978387076","92.1","0.10947708136524144","score[0.10947708136524144]","87.1","74.96","93.75103999999999","1000","Unsupported","0.15185290466503576","1000","568.32","0.1376957978387076","Epoch=1000,Best=0.1376957978387076,Worst=0.1376957978387076,Mean=0.1376957978387076,Stdev=0.0.","0.4644349428001158","291.44639301250584","87890","Best=0.10947708136524144,Worst=0.2524111793090944,Mean=0.15933961747384268,Stdev=0.019593004126879397."
"0.18082603229360933","94.7","0.1280104641375231","score[0.1280104641375231]","86.72","77.98","93.76448","1000","Unsupported","0.17195284135134717","1000","570.0","0.18082603229360933","Epoch=1000,Best=0.18082603229360933,Worst=0.18082603229360933,Mean=0.18082603229360933,Stdev=0.0.","0.6413075344772201","300.08498796174393","87844","Best=0.1280104641375231,Worst=0.23737204438277945,Mean=0.17579034815940517,Stdev=0.020540511894706626."
