# Experimental Run Thu Jan 24 20:12:37 CST 2008
Average Error Euclidean,Average Error Hamming,Average Host Diversity (AHD),Average Host Error (AHE),Best Score,Best Solution,Diversity Optima,Diversity Solution,Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Population Diversity (PD),Population Error (PE),RMSE Euclidean,RMSE Hamming,Run Time Milliseconds,Score Summary
"0.09036389260666013","88.2","89.70967999999999","0.15558977912694288","0.08142412363416936","score[0.08142412363416936]","86.86","88.02000000000001","999","Unsupported","999","Epoch=999,Best=0.09036389260666013,Worst=0.09036389260666013,Mean=0.09036389260666013,Stdev=0.0.","1283.74","0.09036389260666013","0.32919199652225944","280.59223082615813","98516","Best=0.08142412363416936,Worst=0.15463896775000435,Mean=0.10376806650265101,Stdev=0.010762140464181462."
"0.07732653538013023","91.1","90.13056","0.14474230564873114","0.0653823766412031","score[0.0653823766412031]","85.58","87.03999999999999","999","Unsupported","999","Epoch=999,Best=0.07732653538013023,Worst=0.07732653538013023,Mean=0.07732653538013023,Stdev=0.0.","1230.12","0.07732653538013023","0.2759151367740391","288.6745572439663","98593","Best=0.0653823766412031,Worst=0.1601834049574605,Mean=0.10733853411022726,Stdev=0.02301933039675385."
"0.10084928765890051","91.8","89.29407999999998","0.16552257942906823","0.08032823229918265","score[0.08032823229918265]","86.64","85.68","999","Unsupported","999","Epoch=999,Best=0.10084928765890051,Worst=0.10084928765890051,Mean=0.10084928765890051,Stdev=0.0.","1305.8799999999999","0.10084928765890051","0.35752440070388963","290.6613149354417","98766","Best=0.08032823229918265,Worst=0.20254412779749997,Mean=0.1150307786730998,Stdev=0.021818437596251614."
"0.10683545931077632","92.4","90.00503999999998","0.1522273636723694","0.06665226468610712","score[0.06665226468610712]","85.86","87.46000000000001","999","Unsupported","999","Epoch=999,Best=0.10683545931077632,Worst=0.10683545931077632,Mean=0.10683545931077632,Stdev=0.0.","1255.34","0.10683545931077632","0.393141984618464","293.0665453442272","98594","Best=0.06665226468610712,Worst=0.15865826470408828,Mean=0.11120930953774612,Stdev=0.021280556981907242."
"0.1086199353742742","94.2","90.20448","0.16753738438885574","0.07041930576569304","score[0.07041930576569304]","84.9","84.66","999","Unsupported","999","Epoch=999,Best=0.1086199353742742,Worst=0.1086199353742742,Mean=0.1086199353742742,Stdev=0.0.","1209.72","0.1086199353742742","0.3815913413882556","298.5900199269895","98797","Best=0.07041930576569304,Worst=0.2114187441184851,Mean=0.12099077143676872,Stdev=0.027324668351520146."
"0.07402218158589283","91.2","90.35968000000001","0.15185465864251238","0.06314282539922478","score[0.06314282539922478]","86.5","84.22","999","Unsupported","999","Epoch=999,Best=0.07402218158589283,Worst=0.07402218158589283,Mean=0.07402218158589283,Stdev=0.0.","1185.24","0.07402218158589283","0.30345871860595725","289.8275349237888","98641","Best=0.06314282539922478,Worst=0.18260536436832359,Mean=0.10294642785932627,Stdev=0.020768431895470882."
"0.14573922049144633","94.4","90.54639999999999","0.1614094725137769","0.07750104838342395","score[0.07750104838342395]","85.46","86.85999999999999","999","Unsupported","999","Epoch=999,Best=0.14573922049144633,Worst=0.14573922049144633,Mean=0.14573922049144633,Stdev=0.0.","1201.64","0.14573922049144633","0.5726055315722293","299.746559613284","98422","Best=0.07750104838342395,Worst=0.18263584945268316,Mean=0.11882221147854967,Stdev=0.025064971428086877."
"0.11396880826452535","94.7","90.32768","0.16741932447313437","0.06769665667873023","score[0.06769665667873023]","86.7","86.52000000000001","999","Unsupported","999","Epoch=999,Best=0.11396880826452535,Worst=0.11396880826452535,Mean=0.11396880826452535,Stdev=0.0.","1214.2","0.11396880826452535","0.4242034073463515","300.5877575684013","98578","Best=0.06769665667873023,Worst=0.18209582666864216,Mean=0.11971237658186813,Stdev=0.023320726325329767."
"0.108840231677295","96.0","90.40152","0.14551570802312683","0.059510222120735014","score[0.059510222120735014]","86.64","87.72","999","Unsupported","999","Epoch=999,Best=0.108840231677295,Worst=0.108840231677295,Mean=0.108840231677295,Stdev=0.0.","1203.1","0.108840231677295","0.38058385126850924","304.9065430586887","98656","Best=0.059510222120735014,Worst=0.17845751781473357,Mean=0.10615025168067008,Stdev=0.02115556481832538."
"0.1270284401535004","95.2","90.72216","0.16271988693148995","0.07835460754664594","score[0.07835460754664594]","85.58","85.05999999999999","999","Unsupported","999","Epoch=999,Best=0.1270284401535004,Worst=0.1270284401535004,Mean=0.1270284401535004,Stdev=0.0.","1167.58","0.1270284401535004","0.4378623831539826","301.5559649550975","98672","Best=0.07835460754664594,Worst=0.19064681280136048,Mean=0.11925578972777678,Stdev=0.024128754492813848."
