# Experimental Run Tue Feb 12 01:35:51 ACT 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average BMU Per Antigen (ABMU/Antigen),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Average Cell Mapped Diversity (ACMD),Average Mapped BMU Euclidean Error (AMBMUEE),Average Mapped BMU Hamming Error (AMBMUHE),Average Network Cell Diversity (ANCD),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"NaN","86.38000000000002","NaN","91.90960000000001","91.90960000000001","NaN","91.90339999999998","0.1537516136906857","94.6","183.81299999999993","0.12001419047988464","score[0.12001419047988464]","1.7108518673761","975.0","NaN","79.91999999999999","0.17108518673761","97.5","1000","-1","1000","Epoch=1000,Best=0.17108518673761,Worst=0.17108518673761,Mean=0.17108518673761,Stdev=0.0.","207125","Best=0.12001419047988464,Worst=0.28606122609827317,Mean=0.19399693870978993,Stdev=0.027589954312688562."
"NaN","87.57999999999998","NaN","92.0868","92.0868","NaN","92.15160000000006","0.1755606225888205","92.0","184.2384","0.12029866508992992","score[0.12029866508992992]","1.837860180983433","927.0","NaN","71.91999999999999","0.1837860180983433","92.7","1000","-1","1000","Epoch=1000,Best=0.1837860180983433,Worst=0.1837860180983433,Mean=0.1837860180983433,Stdev=0.0.","206406","Best=0.12029866508992992,Worst=0.2968553401976183,Mean=0.22423461322057192,Stdev=0.02576819985261272."
"NaN","86.28","NaN","92.14319999999998","92.14319999999998","NaN","91.84219999999998","0.18304747580158726","95.0","183.98539999999997","0.11441967322619392","score[0.11441967322619392]","1.7658075082081235","958.0","NaN","80.84","0.17658075082081234","95.8","1000","-1","1000","Epoch=1000,Best=0.17658075082081234,Worst=0.17658075082081234,Mean=0.17658075082081234,Stdev=0.0.","206437","Best=0.11441967322619392,Worst=0.24143739328199487,Mean=0.18267665821722517,Stdev=0.022139463115577834."
"NaN","86.11999999999998","NaN","91.6266","91.6266","NaN","91.94999999999999","0.14474342546797603","96.3","183.57660000000004","0.1178208895319544","score[0.1178208895319544]","1.7759859557973976","959.0","NaN","74.17999999999999","0.17759859557973975","95.9","1000","-1","1000","Epoch=1000,Best=0.17759859557973975,Worst=0.17759859557973975,Mean=0.17759859557973975,Stdev=0.0.","206235","Best=0.1178208895319544,Worst=0.23979130018642306,Mean=0.17641784732509175,Stdev=0.018784203240217637."
"NaN","85.46000000000001","NaN","90.66180000000003","90.66180000000003","NaN","91.53599999999999","0.17506622117302567","93.0","182.1978","0.09802954712888927","score[0.09802954712888927]","2.0923008849029063","966.0","NaN","75.82000000000001","0.20923008849029062","96.6","1000","-1","1000","Epoch=1000,Best=0.20923008849029062,Worst=0.20923008849029062,Mean=0.20923008849029062,Stdev=0.0.","206407","Best=0.09802954712888927,Worst=0.26840331719208865,Mean=0.198744504678225,Stdev=0.024096613320687566."
"NaN","87.06000000000002","NaN","91.705","91.705","NaN","92.14879999999998","0.18557210712531008","95.1","183.85379999999998","0.1279583260077822","score[0.1279583260077822]","1.813603590367385","937.0","NaN","71.72","0.1813603590367385","93.7","1000","-1","1000","Epoch=1000,Best=0.1813603590367385,Worst=0.1813603590367385,Mean=0.1813603590367385,Stdev=0.0.","207328","Best=0.1279583260077822,Worst=0.2952251563141809,Mean=0.20265212800506602,Stdev=0.024858481350825728."
"NaN","84.74","NaN","91.87000000000002","91.87000000000002","NaN","92.11280000000001","0.1320555793121121","96.6","183.98280000000003","0.13907327476996925","score[0.13907327476996925]","2.3345935951880277","945.0","NaN","72.84","0.23345935951880276","94.5","1000","-1","1000","Epoch=1000,Best=0.23345935951880276,Worst=0.23345935951880276,Mean=0.23345935951880276,Stdev=0.0.","206406","Best=0.13907327476996925,Worst=0.34005903958904027,Mean=0.2538263850106862,Stdev=0.03222581004811308."
"NaN","87.12000000000002","NaN","91.71960000000001","91.71960000000001","NaN","91.94280000000002","0.1495472500272363","91.0","183.66240000000013","0.11849578295685292","score[0.11849578295685292]","1.6568263061648418","954.0","NaN","78.96000000000001","0.1656826306164842","95.4","1000","-1","1000","Epoch=1000,Best=0.1656826306164842,Worst=0.1656826306164842,Mean=0.1656826306164842,Stdev=0.0.","206906","Best=0.11849578295685292,Worst=0.264980587822511,Mean=0.1921275102661574,Stdev=0.02372051186696268."
"NaN","85.9","NaN","91.59899999999998","91.59899999999998","NaN","91.87599999999996","0.10623305094707813","102.5","183.47500000000002","0.12332781872334128","score[0.12332781872334128]","2.403709568263623","955.0","NaN","65.67999999999999","0.24037095682636228","95.5","1000","-1","1000","Epoch=1000,Best=0.24037095682636228,Worst=0.24037095682636228,Mean=0.24037095682636228,Stdev=0.0.","206922","Best=0.12332781872334128,Worst=0.3090267340494599,Mean=0.20598820209657784,Stdev=0.026943844028269423."
"NaN","87.4","NaN","91.46340000000001","91.46340000000001","NaN","91.68380000000005","0.12302177766567786","91.1","183.14719999999997","0.12629085215940575","score[0.12629085215940575]","2.027364015832089","947.0","NaN","74.33999999999999","0.20273640158320888","94.7","1000","-1","1000","Epoch=1000,Best=0.20273640158320888,Worst=0.20273640158320888,Mean=0.20273640158320888,Stdev=0.0.","206610","Best=0.12629085215940575,Worst=0.29493000117198026,Mean=0.21393939414271604,Stdev=0.02641049276103514."
