# Experimental Run Mon Feb 11 22:09:15 ACT 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average BMU Per Antigen (ABMU/Antigen),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Average Cell Mapped Diversity (ACMD),Average Mapped BMU Euclidean Error (AMBMUEE),Average Mapped BMU Hamming Error (AMBMUHE),Average Network Cell Diversity (ANCD),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"NaN","86.38000000000002","NaN","92.52000000000005","92.52000000000005","NaN","92.4624","0.2538024830871614","95.7","184.98239999999996","0.07702567137013165","score[0.07702567137013165]","1.1050187801636777","904.0","NaN","86.7","0.11050187801636777","90.4","1000","-1","1000","Epoch=1000,Best=0.11050187801636777,Worst=0.11050187801636777,Mean=0.11050187801636777,Stdev=0.0.","182954","Best=0.07702567137013165,Worst=0.16988167752757136,Mean=0.11758934673384282,Stdev=0.021652076538090103."
"NaN","87.57999999999998","NaN","91.5968","91.5968","NaN","91.99380000000001","0.20037902142722325","91.3","183.59059999999994","0.05702643633172326","score[0.05702643633172326]","1.2055354095693422","938.0","NaN","81.82000000000001","0.12055354095693423","93.8","1000","-1","1000","Epoch=1000,Best=0.12055354095693423,Worst=0.12055354095693423,Mean=0.12055354095693423,Stdev=0.0.","182875","Best=0.05702643633172326,Worst=0.17111674907005836,Mean=0.10000331824525356,Stdev=0.026596583004356963."
"NaN","86.28","NaN","91.68959999999996","91.68959999999996","NaN","91.4058","0.1966759317239704","100.4","183.0954","0.06168644213263393","score[0.06168644213263393]","1.1059188861737184","966.0","NaN","85.64","0.11059188861737183","96.6","1000","-1","1000","Epoch=1000,Best=0.11059188861737183,Worst=0.11059188861737183,Mean=0.11059188861737183,Stdev=0.0.","183047","Best=0.06168644213263393,Worst=0.17155523281212898,Mean=0.11292926084811733,Stdev=0.019906432765137944."
"NaN","86.11999999999998","NaN","91.84979999999996","91.84979999999996","NaN","92.43719999999996","0.2031652891970809","97.5","184.28700000000003","0.08266896323139308","score[0.08266896323139308]","0.9328958867342586","894.0","NaN","77.67999999999999","0.09328958867342586","89.4","1000","-1","1000","Epoch=1000,Best=0.09328958867342586,Worst=0.09328958867342586,Mean=0.09328958867342586,Stdev=0.0.","182828","Best=0.08266896323139308,Worst=0.1565960582163161,Mean=0.11024238214504815,Stdev=0.01346545238937183."
"NaN","85.46000000000001","NaN","91.73500000000004","91.73500000000004","NaN","90.88120000000005","0.18931440751586448","96.0","182.61620000000005","0.06554956286923759","score[0.06554956286923759]","1.3850154362580525","922.0","NaN","85.3","0.13850154362580525","92.2","1000","-1","1000","Epoch=1000,Best=0.13850154362580525,Worst=0.13850154362580525,Mean=0.13850154362580525,Stdev=0.0.","183047","Best=0.06554956286923759,Worst=0.1943147385640034,Mean=0.11798023293023509,Stdev=0.022655090527730678."
"NaN","87.06000000000002","NaN","91.61099999999999","91.61099999999999","NaN","91.35780000000001","0.20763519304007527","94.7","182.9687999999999","0.046322388868502304","score[0.046322388868502304]","0.529932064053622","942.0","NaN","85.7","0.0529932064053622","94.2","1000","-1","1000","Epoch=1000,Best=0.0529932064053622,Worst=0.0529932064053622,Mean=0.0529932064053622,Stdev=0.0.","183000","Best=0.046322388868502304,Worst=0.1531787986056426,Mean=0.09066904457422513,Stdev=0.023657171850381194."
"NaN","84.74","NaN","92.16500000000002","92.16500000000002","NaN","91.87720000000003","0.1356266563880954","93.2","184.04219999999995","0.06607033466149057","score[0.06607033466149057]","0.9770617688224822","894.0","NaN","83.53999999999999","0.09770617688224822","89.4","1000","-1","1000","Epoch=1000,Best=0.09770617688224822,Worst=0.09770617688224822,Mean=0.09770617688224822,Stdev=0.0.","183078","Best=0.06607033466149057,Worst=0.16037084178176997,Mean=0.1065353626799251,Stdev=0.018978073024705996."
"NaN","87.12000000000002","NaN","92.1866","92.1866","NaN","92.06240000000001","0.16634790481949818","92.8","184.24900000000005","0.06351574934852529","score[0.06351574934852529]","0.8224704041470094","952.0","NaN","86.67999999999999","0.08224704041470095","95.2","1000","-1","1000","Epoch=1000,Best=0.08224704041470095,Worst=0.08224704041470095,Mean=0.08224704041470095,Stdev=0.0.","182922","Best=0.06351574934852529,Worst=0.17127543666941397,Mean=0.10488890089208482,Stdev=0.027379104278000038."
"NaN","85.9","NaN","92.05300000000003","92.05300000000003","NaN","92.24539999999999","0.16146540614883792","94.5","184.29839999999996","0.0640515692296173","score[0.0640515692296173]","1.3495354852125445","904.0","NaN","86.74000000000001","0.13495354852125446","90.4","1000","-1","1000","Epoch=1000,Best=0.13495354852125446,Worst=0.13495354852125446,Mean=0.13495354852125446,Stdev=0.0.","183062","Best=0.0640515692296173,Worst=0.1450724653958398,Mean=0.10571447998918071,Stdev=0.02067065161340696."
"NaN","87.4","NaN","91.76640000000002","91.76640000000002","NaN","92.19019999999999","0.2190529864478675","96.3","183.95660000000004","0.027582144014732933","score[0.027582144014732933]","0.3380664494579177","916.0","NaN","86.88000000000001","0.03380664494579177","91.6","1000","-1","1000","Epoch=1000,Best=0.03380664494579177,Worst=0.03380664494579177,Mean=0.03380664494579177,Stdev=0.0.","183000","Best=0.027582144014732933,Worst=0.1520248021476765,Mean=0.07823610702706053,Stdev=0.02951340755663252."
"NaN","83.9","NaN","92.4676","92.4676","NaN","92.18999999999998","0.16283251413375818","96.5","184.65759999999997","0.03685205865491497","score[0.03685205865491497]","0.38913539410671766","896.0","NaN","83.14","0.038913539410671764","89.6","1000","-1","1000","Epoch=1000,Best=0.038913539410671764,Worst=0.038913539410671764,Mean=0.038913539410671764,Stdev=0.0.","182938","Best=0.03685205865491497,Worst=0.10991213472189809,Mean=0.06643688891913245,Stdev=0.016342517337314025."
"NaN","87.12","NaN","92.1622","92.1622","NaN","91.58819999999997","0.19566391319353843","94.7","183.7504","0.06802827828315608","score[0.06802827828315608]","1.2710698727858496","922.0","NaN","86.36","0.12710698727858497","92.2","1000","-1","1000","Epoch=1000,Best=0.12710698727858497,Worst=0.12710698727858497,Mean=0.12710698727858497,Stdev=0.0.","183031","Best=0.06802827828315608,Worst=0.13772817509834678,Mean=0.09742444432570976,Stdev=0.01628254409623895."
"NaN","86.88000000000001","NaN","92.02200000000005","92.02200000000005","NaN","91.52840000000002","0.1938694906404189","91.6","183.55039999999997","0.0677219668932551","score[0.0677219668932551]","1.0098918033107092","937.0","NaN","86.74000000000001","0.10098918033107092","93.7","1000","-1","1000","Epoch=1000,Best=0.10098918033107092,Worst=0.10098918033107092,Mean=0.10098918033107092,Stdev=0.0.","182953","Best=0.0677219668932551,Worst=0.1549414427931189,Mean=0.10119897341393452,Stdev=0.016321306210791513."
"NaN","86.82000000000001","NaN","91.84199999999997","91.84199999999997","NaN","92.55679999999995","0.22300355505850425","95.1","184.39880000000002","0.06510858410081179","score[0.06510858410081179]","0.8423072137181421","874.0","NaN","81.78","0.08423072137181421","87.4","1000","-1","1000","Epoch=1000,Best=0.08423072137181421,Worst=0.08423072137181421,Mean=0.08423072137181421,Stdev=0.0.","182859","Best=0.06510858410081179,Worst=0.1958636590048394,Mean=0.11381399246416568,Stdev=0.022629677249329655."
"NaN","85.56000000000002","NaN","92.05859999999998","92.05859999999998","NaN","91.95820000000002","0.1475058060552976","95.8","184.01680000000005","0.04971874721372159","score[0.04971874721372159]","0.756047862024383","960.0","NaN","83.8","0.0756047862024383","96.0","1000","-1","1000","Epoch=1000,Best=0.0756047862024383,Worst=0.0756047862024383,Mean=0.0756047862024383,Stdev=0.0.","183062","Best=0.04971874721372159,Worst=0.1639400967951941,Mean=0.09765830357486231,Stdev=0.025185197523580526."
"NaN","87.48","NaN","91.72040000000001","91.72040000000001","NaN","91.37460000000002","0.19491834606372277","93.0","183.09499999999997","0.06344807381588007","score[0.06344807381588007]","0.9572899632028493","898.0","NaN","83.44000000000001","0.09572899632028493","89.8","1000","-1","1000","Epoch=1000,Best=0.09572899632028493,Worst=0.09572899632028493,Mean=0.09572899632028493,Stdev=0.0.","183000","Best=0.06344807381588007,Worst=0.1513447369772318,Mean=0.10320940795292016,Stdev=0.015356056170970448."
"NaN","87.1","NaN","91.98760000000001","91.98760000000001","NaN","91.45560000000003","0.17176440445297753","96.7","183.4432","0.07391679571034773","score[0.07391679571034773]","0.7427410336012881","944.0","NaN","81.18","0.07427410336012881","94.4","1000","-1","1000","Epoch=1000,Best=0.07427410336012881,Worst=0.07427410336012881,Mean=0.07427410336012881,Stdev=0.0.","183188","Best=0.07391679571034773,Worst=0.17729993087529705,Mean=0.1186224276078026,Stdev=0.024319060212483562."
"NaN","86.72","NaN","91.97140000000002","91.97140000000002","NaN","91.48459999999999","0.19926027787907427","96.7","183.456","0.05954843348649419","score[0.05954843348649419]","0.9727986264202512","950.0","NaN","84.19999999999999","0.09727986264202512","95.0","1000","-1","1000","Epoch=1000,Best=0.09727986264202512,Worst=0.09727986264202512,Mean=0.09727986264202512,Stdev=0.0.","203140","Best=0.05954843348649419,Worst=0.19270514652473922,Mean=0.11862339437725042,Stdev=0.023081984002732477."
"NaN","87.32","NaN","92.58599999999998","92.58599999999998","NaN","91.69279999999999","0.20025532125966175","96.6","184.27879999999982","0.04691546590741848","score[0.04691546590741848]","1.0370979027373601","908.0","NaN","85.00000000000001","0.10370979027373602","90.8","1000","-1","1000","Epoch=1000,Best=0.10370979027373602,Worst=0.10370979027373602,Mean=0.10370979027373602,Stdev=0.0.","206031","Best=0.04691546590741848,Worst=0.1606578543253477,Mean=0.1004073473356937,Stdev=0.018978921059025433."
"NaN","86.25999999999999","NaN","92.50760000000002","92.50760000000002","NaN","92.50139999999996","0.19907537543112075","95.1","185.00900000000004","0.0679470789401823","score[0.0679470789401823]","1.0031414476258529","876.0","NaN","85.1","0.1003141447625853","87.6","1000","-1","1000","Epoch=1000,Best=0.1003141447625853,Worst=0.1003141447625853,Mean=0.1003141447625853,Stdev=0.0.","206094","Best=0.0679470789401823,Worst=0.2003229622802883,Mean=0.11241910816582443,Stdev=0.023754447277911764."
