# Experimental Run Sun Feb 10 18:58:24 ACT 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average BMU Per Antigen (ABMU/Antigen),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Average Cell Neighbourhood Diversity (ACND),Average SubCell Neighbourhood Diversity (ASCND),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"0.23505747028473237","86.85999999999999","2.9","93.18179999999998","93.18179999999998","0.023505747028473238","84.0661728395062","NaN","0.021131826168730033","score[0.021131826168730033]","0.23505747028473237","798.0","NaN","84.58000000000001","0.023505747028473238","79.8","1000","-1","1000","Epoch=1000,Best=0.023505747028473238,Worst=0.023505747028473238,Mean=0.023505747028473238,Stdev=0.0.","116000","Best=0.021131826168730033,Worst=0.12779723330144474,Mean=0.03989346068676885,Stdev=0.017180644909736708."
"0.029472467706265826","85.58","2.6","92.76440000000001","92.76440000000001","0.0029472467706265827","83.68592592592594","NaN","0.0029472467706265827","score[0.0029472467706265827]","0.029472467706265826","788.0","NaN","85.97999999999999","0.0029472467706265827","78.8","1000","-1","1000","Epoch=1000,Best=0.0029472467706265827,Worst=0.0029472467706265827,Mean=0.0029472467706265827,Stdev=0.0.","116141","Best=0.0029472467706265827,Worst=0.11438997664949731,Mean=0.025934999400551533,Stdev=0.02575680643414709."
"0.152746129316576","86.64","3.0","92.13120000000002","92.13120000000002","0.0152746129316576","82.9338271604938","NaN","0.011647442398827501","score[0.011647442398827501]","0.152746129316576","780.0","NaN","83.88","0.0152746129316576","78.0","1000","-1","1000","Epoch=1000,Best=0.0152746129316576,Worst=0.0152746129316576,Mean=0.0152746129316576,Stdev=0.0.","115641","Best=0.011647442398827501,Worst=0.18021002596712993,Mean=0.03717918829981328,Stdev=0.024029515429078666."
"0.0039975520906394","85.86","2.2","93.68739999999997","93.68739999999997","3.9975520906394E-4","83.91555555555554","NaN","3.9975520906394E-4","score[3.9975520906394E-4]","0.0039975520906394","766.0","NaN","86.9","3.9975520906394E-4","76.6","1000","-1","1000","Epoch=1000,Best=3.9975520906394E-4,Worst=3.9975520906394E-4,Mean=3.9975520906394E-4,Stdev=0.0.","115266","Best=3.9975520906394E-4,Worst=0.13895640435267667,Mean=0.022845966387489258,Stdev=0.028894591720660244."
"0.1454719117658155","84.9","2.4","92.78719999999996","92.78719999999996","0.01454719117658155","83.12987654320989","NaN","0.008241529063544766","score[0.008241529063544766]","0.1454719117658155","838.0","NaN","82.81999999999998","0.01454719117658155","83.8","1000","-1","1000","Epoch=1000,Best=0.01454719117658155,Worst=0.01454719117658155,Mean=0.01454719117658155,Stdev=0.0.","115640","Best=0.008241529063544766,Worst=0.15642146951458408,Mean=0.03659986408655481,Stdev=0.028227890638326276."
"0.04413419757370555","86.5","2.7","92.84160000000001","92.84160000000001","0.004413419757370555","83.25283950617286","NaN","0.004413419757370555","score[0.004413419757370555]","0.04413419757370555","782.0","NaN","86.46000000000001","0.004413419757370555","78.2","1000","-1","1000","Epoch=1000,Best=0.004413419757370555,Worst=0.004413419757370555,Mean=0.004413419757370555,Stdev=0.0.","115938","Best=0.004413419757370555,Worst=0.11224637775219348,Mean=0.029736151904485274,Stdev=0.022970331282275946."
"0.2613968227382714","85.46000000000001","2.6","93.63680000000001","93.63680000000001","0.026139682273827142","84.11111111111113","NaN","0.016518216023495673","score[0.016518216023495673]","0.2613968227382714","854.0","NaN","83.66","0.026139682273827142","85.4","1000","-1","1000","Epoch=1000,Best=0.026139682273827142,Worst=0.026139682273827142,Mean=0.026139682273827142,Stdev=0.0.","115515","Best=0.016518216023495673,Worst=0.10035536259265596,Mean=0.03780502028608491,Stdev=0.01685598380060747."
"0.008065592428338082","86.7","3.3","93.1772","93.1772","8.065592428338082E-4","83.93481481481481","NaN","8.065592428338082E-4","score[8.065592428338082E-4]","0.008065592428338082","808.0","NaN","86.97999999999999","8.065592428338082E-4","80.8","1000","-1","1000","Epoch=1000,Best=8.065592428338082E-4,Worst=8.065592428338082E-4,Mean=8.065592428338082E-4,Stdev=0.0.","115032","Best=8.065592428338082E-4,Worst=0.1564113712109575,Mean=0.02738187569719791,Stdev=0.03402456239252913."
"0.02124960467761876","86.64000000000001","3.0","92.63119999999999","92.63119999999999","0.002124960467761876","83.17234567901232","NaN","0.002124960467761876","score[0.002124960467761876]","0.02124960467761876","794.0","NaN","85.92","0.002124960467761876","79.4","1000","-1","1000","Epoch=1000,Best=0.002124960467761876,Worst=0.002124960467761876,Mean=0.002124960467761876,Stdev=0.0.","115969","Best=0.002124960467761876,Worst=0.1328786191308584,Mean=0.02565243274812925,Stdev=0.029522205836939878."
"0.2585110703660981","85.58","2.7","93.2846","93.2846","0.02585110703660981","83.22962962962966","NaN","0.014839130658283888","score[0.014839130658283888]","0.2585110703660981","794.0","NaN","84.94","0.02585110703660981","79.4","1000","-1","1000","Epoch=1000,Best=0.02585110703660981,Worst=0.02585110703660981,Mean=0.02585110703660981,Stdev=0.0.","115359","Best=0.014839130658283888,Worst=0.1440968463718884,Mean=0.04255676332196399,Stdev=0.022402563890371617."
