# Experimental Run Sun Feb 10 21:22:21 ACT 2008
Antigen Average Diversity (AAD),Average B-Cell BMU Per Antigen (ABC-BMU/Antigen),Average B-Cell Diversity (ABCD),Average B-Cell Error (ABCE),Average T-Cell BMU Per Antigen (ATC-BMU/Antigen),Average T-Cell Diversity (ATCD),Average T-Cell Error (ATCE),Average T-Cell Mapping Error (ATCME),Average T-Cell Selected Set Mapping Error (ATCSSME),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"86.85999999999999","1.0","94.44444444444441","0.04763198944017101","1.0","94.28833333333336","0.07199321955998972","3.565290976972146","0.7703438091479803","0.08997002308559532","score[0.08997002308559532]","0.948401687995394","916.0","NaN","78.38","0.09484016879953941","91.6","1000","-1","1000","Epoch=1000,Best=0.09484016879953941,Worst=0.09484016879953941,Mean=0.09484016879953941,Stdev=0.0.","67532","Best=0.08997002308559532,Worst=0.23247281812803147,Mean=0.11751166446848642,Stdev=0.0356754213369226."
"85.58","1.0","94.70777777777782","0.07599570642783224","1.0","94.20388888888884","0.08558192344032586","3.6677660053518877","1.2167333052388978","0.08479835455393671","score[0.08479835455393671]","0.8968300196655558","937.0","NaN","84.52000000000001","0.08968300196655557","93.7","1000","-1","1000","Epoch=1000,Best=0.08968300196655557,Worst=0.08968300196655557,Mean=0.08968300196655557,Stdev=0.0.","67672","Best=0.08479835455393671,Worst=0.19516980936091127,Mean=0.1222807721163837,Stdev=0.023529118766594963."
"86.64","1.0","94.36166666666665","0.05058317191399658","1.0","94.19722222222218","0.10159428627968829","3.8376370280524137","1.2079631257676458","0.10438254597879246","score[0.10438254597879246]","1.290269824635762","930.0","NaN","83.96","0.1290269824635762","93.0","1000","-1","1000","Epoch=1000,Best=0.1290269824635762,Worst=0.1290269824635762,Mean=0.1290269824635762,Stdev=0.0.","67609","Best=0.10438254597879246,Worst=0.2540875555690293,Mean=0.13084724842778728,Stdev=0.014298835510540286."
"85.86","1.0","94.38222222222227","0.06740731132626947","1.0","94.27555555555556","0.10355454157380783","3.7121193373766355","1.2010833599055177","0.12187629399190728","score[0.12187629399190728]","1.2740052036880836","964.0","NaN","87.1","0.12740052036880836","96.4","1000","-1","1000","Epoch=1000,Best=0.12740052036880836,Worst=0.12740052036880836,Mean=0.12740052036880836,Stdev=0.0.","67406","Best=0.12187629399190728,Worst=0.23224257015267927,Mean=0.14664710528927882,Stdev=0.023390881835502655."
"84.9","1.0","94.31555555555558","0.09159458494208027","1.0","94.33944444444447","0.12034010109808838","3.767328406829691","1.092190914782881","0.12427795244731621","score[0.12427795244731621]","1.6580055376898977","964.0","NaN","82.82000000000001","0.16580055376898978","96.4","1000","-1","1000","Epoch=1000,Best=0.16580055376898978,Worst=0.16580055376898978,Mean=0.16580055376898978,Stdev=0.0.","67454","Best=0.12427795244731621,Worst=0.2289989569144105,Mean=0.16616514711730254,Stdev=0.016331397840059863."
"86.5","1.0","94.40666666666671","0.059871044669041584","1.0","94.46000000000001","0.08221465874772386","3.701901386947604","1.2367842280033199","0.09609035280690899","score[0.09609035280690899]","1.2206044933333546","930.0","NaN","85.46","0.12206044933333546","93.0","1000","-1","1000","Epoch=1000,Best=0.12206044933333546,Worst=0.12206044933333546,Mean=0.12206044933333546,Stdev=0.0.","67453","Best=0.09609035280690899,Worst=0.24367921597443037,Mean=0.14400167362066651,Stdev=0.02402158834532913."
"85.46000000000001","1.0","94.33222222222224","0.06547959440706233","1.0","94.42888888888889","0.08020332306648922","4.018053841572615","1.282887830858902","0.08717944309626394","score[0.08717944309626394]","0.9677824193402721","939.0","NaN","82.96000000000002","0.0967782419340272","93.9","1000","-1","1000","Epoch=1000,Best=0.0967782419340272,Worst=0.0967782419340272,Mean=0.0967782419340272,Stdev=0.0.","67531","Best=0.08717944309626394,Worst=0.23473726159803063,Mean=0.1401364492088266,Stdev=0.028661797246522704."
"86.7","1.0","94.34500000000003","0.08954987341500963","1.0","94.5166666666667","0.11391693710163979","3.77216520442718","1.2961846350105244","0.12782074340796495","score[0.12782074340796495]","1.468695737622593","930.0","NaN","83.46","0.14686957376225931","93.0","1000","-1","1000","Epoch=1000,Best=0.14686957376225931,Worst=0.14686957376225931,Mean=0.14686957376225931,Stdev=0.0.","67484","Best=0.12782074340796495,Worst=0.2478098101225233,Mean=0.16925086327789723,Stdev=0.025073513455397684."
"86.64000000000001","1.0","94.47111111111113","0.08737412895899263","1.0","94.25611111111114","0.08344874328096089","3.6047913510698932","1.223097845416253","0.08224494580284777","score[0.08224494580284777]","1.4588458372171316","957.0","NaN","82.94","0.14588458372171315","95.7","1000","-1","1000","Epoch=1000,Best=0.14588458372171315,Worst=0.14588458372171315,Mean=0.14588458372171315,Stdev=0.0.","67469","Best=0.08224494580284777,Worst=0.20523345317289682,Mean=0.1420480980099409,Stdev=0.01907781724732755."
"85.58","1.0","94.49666666666667","0.0757851552262209","1.0","94.32055555555552","0.10107878291513797","3.8218638838716146","1.110593254476632","0.09898207833919981","score[0.09898207833919981]","1.5143566388120133","956.0","NaN","75.61999999999999","0.15143566388120133","95.6","1000","-1","1000","Epoch=1000,Best=0.15143566388120133,Worst=0.15143566388120133,Mean=0.15143566388120133,Stdev=0.0.","67406","Best=0.09898207833919981,Worst=0.21995957973525454,Mean=0.13866600479977068,Stdev=0.02183410105658381."
