# Experimental Run Tue Feb 05 01:11:33 CST 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average BMU Per Antigen (ABMU/Antigen),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Average Cell Neighbourhood Diversity (ACND),Average SubCell Neighbourhood Diversity (ASCND),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"NaN","86.85999999999999","NaN","31.096644444444422","31.096644444444422","NaN","66.29925925925926","22.38573388203018","2.078923992264378E-15","score[2.078923992264378E-15]","2.078923992264378E-14","204.0","7.568020284528151E-16","87.14","2.078923992264378E-15","20.4","1000","-1","1000","Epoch=1000,Best=2.078923992264378E-15,Worst=2.078923992264378E-15,Mean=2.078923992264378E-15,Stdev=0.0.","206625","Best=2.078923992264378E-15,Worst=0.012956322424286546,Mean=4.763646419474177E-4,Stdev=0.0018296059784872584."
"NaN","85.58","NaN","31.03119999999999","31.03119999999999","NaN","66.39802469135805","22.300137174211248","5.340563369961133E-13","score[5.340563369961133E-13]","3.597777302391367E-9","236.0","1.1992594001197786E-10","86.58000000000001","3.597777302391367E-10","23.6","1000","-1","1000","Epoch=1000,Best=3.597777302391367E-10,Worst=3.597777302391367E-10,Mean=3.597777302391367E-10,Stdev=0.0.","206609","Best=5.340563369961133E-13,Worst=0.015326452914299826,Mean=4.810377380335913E-4,Stdev=0.0016446805234088982."
"NaN","86.64","NaN","30.82797777777779","30.82797777777779","NaN","68.0404938271605","22.36488340192044","5.2693037495846786E-14","score[5.2693037495846786E-14]","4.5037322566510345E-6","266.0","1.501244092196504E-7","87.00000000000001","4.5037322566510343E-7","26.6","1000","-1","1000","Epoch=1000,Best=4.5037322566510343E-7,Worst=4.5037322566510343E-7,Mean=4.5037322566510343E-7,Stdev=0.0.","207125","Best=5.2693037495846786E-14,Worst=0.009404921352712111,Mean=3.34044302532205E-4,Stdev=0.0012051180797879567."
"NaN","85.86","NaN","30.95291111111116","30.95291111111116","NaN","68.37679012345683","22.856515775034296","4.250223317275E-15","score[4.250223317275E-15]","4.513852719555616E-14","196.0","1.51684220739412E-15","86.02000000000001","4.513852719555616E-15","19.6","1000","-1","1000","Epoch=1000,Best=4.513852719555616E-15,Worst=4.513852719555616E-15,Mean=4.513852719555616E-15,Stdev=0.0.","205734","Best=4.250223317275E-15,Worst=0.010691275254203957,Mean=2.7740302426889035E-4,Stdev=0.001283552181120736."
"NaN","84.9","NaN","30.689044444444455","30.689044444444455","NaN","65.5856790123457","21.936351165980795","1.4697018056223256E-14","score[1.4697018056223256E-14]","2.84265403374674E-4","212.0","9.47551344586059E-6","84.82000000000002","2.8426540337467402E-5","21.2","1000","-1","1000","Epoch=1000,Best=2.8426540337467402E-5,Worst=2.8426540337467402E-5,Mean=2.8426540337467402E-5,Stdev=0.0.","205578","Best=1.4697018056223256E-14,Worst=0.012144567821974563,Mean=3.9482651617527166E-4,Stdev=0.0014927366467018324."
"NaN","86.5","NaN","30.939311111111085","30.939311111111085","NaN","66.1679012345679","22.14320987654321","2.38220918344999E-12","score[2.38220918344999E-12]","1.195120416563943E-6","232.0","3.983812915618149E-8","86.14","1.195120416563943E-7","23.2","1000","-1","1000","Epoch=1000,Best=1.195120416563943E-7,Worst=1.195120416563943E-7,Mean=1.195120416563943E-7,Stdev=0.0.","205516","Best=2.38220918344999E-12,Worst=0.01016002325499042,Mean=4.004183806805751E-4,Stdev=0.0014289039845351854."
"NaN","85.46000000000001","NaN","30.72251111111115","30.72251111111115","NaN","64.5832098765432","21.748148148148147","2.555866245235855E-13","score[2.555866245235855E-13]","1.5380528752340423E-11","214.0","5.127047513394285E-13","84.66","1.5380528752340424E-12","21.4","1000","-1","1000","Epoch=1000,Best=1.5380528752340424E-12,Worst=1.5380528752340424E-12,Mean=1.5380528752340424E-12,Stdev=0.0.","205781","Best=2.555866245235855E-13,Worst=0.010383002426330638,Mean=2.785056209566115E-4,Stdev=0.0012311192612542074."
"NaN","86.7","NaN","30.928355555555537","30.928355555555537","NaN","67.10172839506171","22.65953360768175","2.3010669321607246E-15","score[2.3010669321607246E-15]","2.3010669321607248E-14","216.0","9.775745028287966E-16","86.46000000000001","2.3010669321607246E-15","21.6","1000","-1","1000","Epoch=1000,Best=2.3010669321607246E-15,Worst=2.3010669321607246E-15,Mean=2.3010669321607246E-15,Stdev=0.0.","206125","Best=2.3010669321607246E-15,Worst=0.011237426949223195,Mean=3.4235484918274984E-4,Stdev=0.0014419534718838557."
"NaN","86.64000000000001","NaN","31.170733333333306","31.170733333333306","NaN","68.1920987654321","22.822496570644716","9.403140315795162E-15","score[9.403140315795162E-15]","2.10179312196155E-4","228.0","7.00597707321097E-6","87.64","2.10179312196155E-5","22.8","1000","-1","1000","Epoch=1000,Best=2.10179312196155E-5,Worst=2.10179312196155E-5,Mean=2.10179312196155E-5,Stdev=0.0.","206125","Best=9.403140315795162E-15,Worst=0.01683376283621685,Mean=3.2578270878410844E-4,Stdev=0.001555516203837275."
"NaN","85.58","NaN","30.675800000000024","30.675800000000024","NaN","67.29777777777777","22.28916323731139","4.2777064866618685E-14","score[4.2777064866618685E-14]","3.2438076542364694E-6","218.0","1.0812692184669626E-7","85.41999999999999","3.2438076542364694E-7","21.8","1000","-1","1000","Epoch=1000,Best=3.2438076542364694E-7,Worst=3.2438076542364694E-7,Mean=3.2438076542364694E-7,Stdev=0.0.","205906","Best=4.2777064866618685E-14,Worst=0.010692042736802899,Mean=3.0009975638246275E-4,Stdev=0.0011998611970743323."
