# Experimental Run Tue Feb 05 02:54:39 CST 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average BMU Per Antigen (ABMU/Antigen),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Average Cell Neighbourhood Diversity (ACND),Average SubCell Neighbourhood Diversity (ASCND),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"NaN","87.57999999999998","NaN","31.403155555555575","31.403155555555575","NaN","71.26666666666664","23.875445816186556","3.8018474045563784E-8","score[3.8018474045563784E-8]","3.8018474045563786E-7","332.0","1.2679382945084603E-8","87.3","3.8018474045563784E-8","33.2","1000","-1","1000","Epoch=1000,Best=3.8018474045563784E-8,Worst=3.8018474045563784E-8,Mean=3.8018474045563784E-8,Stdev=0.0.","206515","Best=3.8018474045563784E-8,Worst=0.11595173192442923,Mean=0.004460107378021873,Stdev=0.01352816191019001."
"NaN","86.28","NaN","31.57344444444443","31.57344444444443","NaN","72.43555555555554","23.2400548696845","2.3267912124646407E-10","score[2.3267912124646407E-10]","2.3267912124646407E-9","354.0","7.944832138816658E-11","85.63999999999999","2.3267912124646407E-10","35.4","1000","-1","1000","Epoch=1000,Best=2.3267912124646407E-10,Worst=2.3267912124646407E-10,Mean=2.3267912124646407E-10,Stdev=0.0.","205938","Best=2.3267912124646407E-10,Worst=0.1639192488389304,Mean=0.004566295946952432,Stdev=0.015718437917380753."
"NaN","86.11999999999998","NaN","31.531066666666643","31.531066666666643","NaN","72.11358024691354","24.15418381344307","2.2353627198809615E-10","score[2.2353627198809615E-10]","2.2353627198809614E-9","372.0","8.72929922790533E-11","86.47999999999999","2.2353627198809615E-10","37.2","1000","-1","1000","Epoch=1000,Best=2.2353627198809615E-10,Worst=2.2353627198809615E-10,Mean=2.2353627198809615E-10,Stdev=0.0.","206609","Best=2.2353627198809615E-10,Worst=0.12094171308740558,Mean=0.006233607421989621,Stdev=0.014764645347361003."
"NaN","85.46000000000001","NaN","31.532133333333338","31.532133333333338","NaN","70.5125925925926","22.72647462277092","9.834402949192467E-12","score[9.834402949192467E-12]","9.834402949192467E-11","310.0","3.2877379059955318E-12","83.73999999999998","9.834402949192467E-12","31.0","1000","-1","1000","Epoch=1000,Best=9.834402949192467E-12,Worst=9.834402949192467E-12,Mean=9.834402949192467E-12,Stdev=0.0.","205812","Best=9.834402949192467E-12,Worst=0.15392737688783972,Mean=0.004105938913616036,Stdev=0.013581306462725018."
"NaN","87.06000000000002","NaN","31.64657777777774","31.64657777777774","NaN","71.5832098765432","24.850480109739376","1.484363550296042E-11","score[1.484363550296042E-11]","1.484363550296042E-10","318.0","5.064155460717443E-12","85.98","1.484363550296042E-11","31.8","1000","-1","1000","Epoch=1000,Best=1.484363550296042E-11,Worst=1.484363550296042E-11,Mean=1.484363550296042E-11,Stdev=0.0.","206235","Best=1.484363550296042E-11,Worst=0.12617894751084563,Mean=0.002568814195967449,Stdev=0.01007656412248574."
"NaN","84.74","NaN","31.440533333333303","31.440533333333303","NaN","70.1906172839506","24.83017832647462","2.7666756063936206E-7","score[2.7666756063936206E-7]","2.7666756063936204E-6","330.0","9.222493803640041E-8","84.53999999999999","2.7666756063936206E-7","33.0","1000","-1","1000","Epoch=1000,Best=2.7666756063936206E-7,Worst=2.7666756063936206E-7,Mean=2.7666756063936206E-7,Stdev=0.0.","206000","Best=2.7666756063936206E-7,Worst=0.12783802663084579,Mean=0.00705884266754366,Stdev=0.01799598820788321."
"NaN","87.12000000000002","NaN","31.567355555555558","31.567355555555558","NaN","70.90962962962962","23.44307270233196","3.0558580207881663E-12","score[3.0558580207881663E-12]","3.0558580207881665E-11","278.0","1.1183165504746737E-12","87.83999999999999","3.0558580207881663E-12","27.8","1000","-1","1000","Epoch=1000,Best=3.0558580207881663E-12,Worst=3.0558580207881663E-12,Mean=3.0558580207881663E-12,Stdev=0.0.","205954","Best=3.0558580207881663E-12,Worst=0.12474465898979063,Mean=0.004792244387678979,Stdev=0.015064406740643466."
"NaN","85.9","NaN","31.619511111111102","31.619511111111102","NaN","70.99456790123455","22.58545953360768","1.7801702657527769E-9","score[1.7801702657527769E-9]","1.2856688572101437E-7","340.0","4.3533366806368375E-9","86.9","1.2856688572101437E-8","34.0","1000","-1","1000","Epoch=1000,Best=1.2856688572101437E-8,Worst=1.2856688572101437E-8,Mean=1.2856688572101437E-8,Stdev=0.0.","205906","Best=1.7801702657527769E-9,Worst=0.1276539827338004,Mean=0.004327828694823582,Stdev=0.014415142784537057."
"NaN","87.4","NaN","31.599377777777807","31.599377777777807","NaN","71.47160493827162","24.130589849108365","1.0812107340605123E-10","score[1.0812107340605123E-10]","1.0812107340605124E-9","338.0","3.6726759480854025E-11","87.64","1.0812107340605123E-10","33.8","1000","-1","1000","Epoch=1000,Best=1.0812107340605123E-10,Worst=1.0812107340605123E-10,Mean=1.0812107340605123E-10,Stdev=0.0.","206500","Best=1.0812107340605123E-10,Worst=0.13423353686566808,Mean=0.005566337607736832,Stdev=0.015852704630441174."
"NaN","83.9","NaN","31.466600000000064","31.466600000000064","NaN","70.88641975308641","25.115500685871055","6.052257849854473E-11","score[6.052257849854473E-11]","6.052257849854473E-10","338.0","2.0267844925518178E-11","84.34","6.052257849854473E-11","33.8","1000","-1","1000","Epoch=1000,Best=6.052257849854473E-11,Worst=6.052257849854473E-11,Mean=6.052257849854473E-11,Stdev=0.0.","207047","Best=6.052257849854473E-11,Worst=0.15305568122818677,Mean=0.0040639828852251075,Stdev=0.013269841851754125."
"NaN","87.12","NaN","31.599177777777737","31.599177777777737","NaN","69.95604938271606","22.86474622770919","5.651556447102345E-10","score[5.651556447102345E-10]","8.917359907385216E-9","278.0","2.992133868220022E-10","86.64000000000001","8.917359907385216E-10","27.8","1000","-1","1000","Epoch=1000,Best=8.917359907385216E-10,Worst=8.917359907385216E-10,Mean=8.917359907385216E-10,Stdev=0.0.","206110","Best=5.651556447102345E-10,Worst=0.1257521145512417,Mean=0.003978601041917973,Stdev=0.01279162025706039."
"NaN","86.88000000000001","NaN","31.565199999999997","31.565199999999997","NaN","70.69679012345681","23.185185185185187","5.160243501849217E-12","score[5.160243501849217E-12]","5.160243501849217E-11","292.0","1.8560104841913726E-12","87.48","5.160243501849217E-12","29.2","1000","-1","1000","Epoch=1000,Best=5.160243501849217E-12,Worst=5.160243501849217E-12,Mean=5.160243501849217E-12,Stdev=0.0.","205891","Best=5.160243501849217E-12,Worst=0.12645356670579516,Mean=0.005907197635589681,Stdev=0.01926038998881503."
"NaN","86.82000000000001","NaN","31.272711111111093","31.272711111111093","NaN","69.19555555555557","23.51604938271605","5.13467323518029E-8","score[5.13467323518029E-8]","5.13467323518029E-7","370.0","1.7152058299300017E-8","86.62000000000002","5.13467323518029E-8","37.0","1000","-1","1000","Epoch=1000,Best=5.13467323518029E-8,Worst=5.13467323518029E-8,Mean=5.13467323518029E-8,Stdev=0.0.","206047","Best=5.13467323518029E-8,Worst=0.10691792624115515,Mean=0.006807228715064372,Stdev=0.015043946713324654."
"NaN","85.56000000000002","NaN","31.43522222222223","31.43522222222223","NaN","68.99407407407406","23.550068587105624","1.7017155820160294E-8","score[1.7017155820160294E-8]","1.9418942741493876E-7","298.0","6.478221277704069E-9","87.28","1.9418942741493878E-8","29.8","1000","-1","1000","Epoch=1000,Best=1.9418942741493878E-8,Worst=1.9418942741493878E-8,Mean=1.9418942741493878E-8,Stdev=0.0.","205812","Best=1.7017155820160294E-8,Worst=0.14829867438791414,Mean=0.0048626552894982834,Stdev=0.016607721900328106."
"NaN","87.48","NaN","31.565844444444433","31.565844444444433","NaN","71.43407407407405","23.40411522633745","2.245767069830952E-12","score[2.245767069830952E-12]","2.245767069830952E-11","300.0","7.792294587360971E-13","86.32000000000001","2.245767069830952E-12","30.0","1000","-1","1000","Epoch=1000,Best=2.245767069830952E-12,Worst=2.245767069830952E-12,Mean=2.245767069830952E-12,Stdev=0.0.","205953","Best=2.245767069830952E-12,Worst=0.13391411254239716,Mean=0.0042636128017683305,Stdev=0.01431916328485737."
"NaN","87.1","NaN","31.622422222222188","31.622422222222188","NaN","71.15012345679014","23.830452674897117","9.657261184430313E-13","score[9.657261184430313E-13]","9.657261184430313E-12","310.0","3.692407490873962E-13","87.58","9.657261184430313E-13","31.0","1000","-1","1000","Epoch=1000,Best=9.657261184430313E-13,Worst=9.657261184430313E-13,Mean=9.657261184430313E-13,Stdev=0.0.","205906","Best=9.657261184430313E-13,Worst=0.17286461231207334,Mean=0.004566328808757101,Stdev=0.016065978561854485."
"NaN","86.72","NaN","31.533711111111096","31.533711111111096","NaN","70.53876543209878","23.28888888888889","1.128392878162072E-11","score[1.128392878162072E-11]","1.128392878162072E-10","288.0","3.915493855070432E-12","87.0","1.128392878162072E-11","28.8","1000","-1","1000","Epoch=1000,Best=1.128392878162072E-11,Worst=1.128392878162072E-11,Mean=1.128392878162072E-11,Stdev=0.0.","205719","Best=1.128392878162072E-11,Worst=0.1283951441607462,Mean=0.003898651442998386,Stdev=0.013706435741421144."
"NaN","87.32","NaN","31.66697777777774","31.66697777777774","NaN","71.79753086419754","24.43127572016461","2.161181035660916E-9","score[2.161181035660916E-9]","2.161181035660916E-8","354.0","7.242613571378786E-10","86.8","2.161181035660916E-9","35.4","1000","-1","1000","Epoch=1000,Best=2.161181035660916E-9,Worst=2.161181035660916E-9,Mean=2.161181035660916E-9,Stdev=0.0.","206328","Best=2.161181035660916E-9,Worst=0.11693651543504327,Mean=0.006644871840725599,Stdev=0.01724084041676664."
"NaN","86.25999999999999","NaN","31.408488888888897","31.408488888888897","NaN","71.19259259259258","23.6960219478738","1.0590165171666701E-11","score[1.0590165171666701E-11]","1.0590165171666702E-10","302.0","3.5427930265378534E-12","85.30000000000001","1.0590165171666701E-11","30.2","1000","-1","1000","Epoch=1000,Best=1.0590165171666701E-11,Worst=1.0590165171666701E-11,Mean=1.0590165171666701E-11,Stdev=0.0.","206438","Best=1.0590165171666701E-11,Worst=0.1353948399974986,Mean=0.006843536400664657,Stdev=0.014303519242912283."
