# Experimental Run Thu Feb 07 16:26:36 ACT 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average BMU Per Antigen (ABMU/Antigen),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"0.2389246097373718","86.85999999999999","1.0","95.02459999999999","95.02459999999999","0.023892460973737182","0.014996395037752247","score[0.014996395037752247]","0.2389246097373718","872.0","0.010306764490199509","83.70000000000002","0.023892460973737182","87.2","1000","-1","1000","Epoch=1000,Best=0.023892460973737182,Worst=0.023892460973737182,Mean=0.023892460973737182,Stdev=0.0.","81047","Best=0.014996395037752247,Worst=0.13611674181810934,Mean=0.04423417117308673,Stdev=0.02709041904415."
"0.1873025568614112","85.58","1.0","95.12279999999998","95.12279999999998","0.01873025568614112","0.01016318127825131","score[0.01016318127825131]","0.1873025568614112","846.0","0.008417343634720773","85.66","0.01873025568614112","84.6","1000","-1","1000","Epoch=1000,Best=0.01873025568614112,Worst=0.01873025568614112,Mean=0.01873025568614112,Stdev=0.0.","81000","Best=0.01016318127825131,Worst=0.12427377796663881,Mean=0.03530511379111831,Stdev=0.024736292052385454."
"0.15626762373224906","86.64","1.0","95.04360000000001","95.04360000000001","0.015626762373224905","0.015626762373224905","score[0.015626762373224905]","0.15626762373224906","862.0","0.006551636040030065","87.4","0.015626762373224905","86.2","1000","-1","1000","Epoch=1000,Best=0.015626762373224905,Worst=0.015626762373224905,Mean=0.015626762373224905,Stdev=0.0.","80750","Best=0.015626762373224905,Worst=0.14306916592892993,Mean=0.051820149289908475,Stdev=0.027132817873831407."
"0.08587837627611218","85.86","1.0","95.0722","95.0722","0.008587837627611217","0.008587837627611217","score[0.008587837627611217]","0.08587837627611218","846.0","0.003162462097944322","87.54","0.008587837627611217","84.6","1000","-1","1000","Epoch=1000,Best=0.008587837627611217,Worst=0.008587837627611217,Mean=0.008587837627611217,Stdev=0.0.","80578","Best=0.008587837627611217,Worst=0.11456524358079204,Mean=0.03370351881628151,Stdev=0.02669024725294632."
"0.08235346339270003","84.9","1.0","95.1024","95.1024","0.008235346339270002","0.008235346339270002","score[0.008235346339270002]","0.08235346339270003","892.0","0.003398156655988218","88.30000000000001","0.008235346339270002","89.2","1000","-1","1000","Epoch=1000,Best=0.008235346339270002,Worst=0.008235346339270002,Mean=0.008235346339270002,Stdev=0.0.","80765","Best=0.008235346339270002,Worst=0.13139685951755875,Mean=0.03537346594211337,Stdev=0.030319733187897054."
"0.06359117154787519","86.5","1.0","95.05160000000004","95.05160000000004","0.006359117154787519","0.0029453709362689375","score[0.0029453709362689375]","0.06359117154787519","828.0","0.002414452774036077","85.38000000000001","0.006359117154787519","82.8","1000","-1","1000","Epoch=1000,Best=0.006359117154787519,Worst=0.006359117154787519,Mean=0.006359117154787519,Stdev=0.0.","80594","Best=0.0029453709362689375,Worst=0.11568690352429863,Mean=0.029756879787256243,Stdev=0.02721126848507983."
"0.12800722021196875","85.46000000000001","1.0","95.00020000000002","95.00020000000002","0.012800722021196875","0.00647459858597699","score[0.00647459858597699]","0.10968468077160566","810.0","0.004186595624397513","86.26","0.010968468077160566","81.0","1000","-1","1000","Epoch=1000,Best=0.010968468077160566,Worst=0.010968468077160566,Mean=0.010968468077160566,Stdev=0.0.","80797","Best=0.00647459858597699,Worst=0.13201947820105733,Mean=0.037426054030038174,Stdev=0.032146121671248466."
"0.07774110937149407","86.7","1.0","95.00099999999996","95.00099999999996","0.007774110937149407","0.007774110937149407","score[0.007774110937149407]","0.07774110937149407","852.0","0.0031042668630453492","85.94","0.007774110937149407","85.2","1000","-1","1000","Epoch=1000,Best=0.007774110937149407,Worst=0.007774110937149407,Mean=0.007774110937149407,Stdev=0.0.","81109","Best=0.007774110937149407,Worst=0.12251682502048915,Mean=0.045963452014593204,Stdev=0.031247668168509227."
"0.05033388030337088","86.64000000000001","1.0","95.0538","95.0538","0.0050333880303370885","0.0050333880303370885","score[0.0050333880303370885]","0.05033388030337088","824.0","0.0019992097340475736","87.07999999999998","0.0050333880303370885","82.4","1000","-1","1000","Epoch=1000,Best=0.0050333880303370885,Worst=0.0050333880303370885,Mean=0.0050333880303370885,Stdev=0.0.","80609","Best=0.0050333880303370885,Worst=0.09958457273001595,Mean=0.02695001536184907,Stdev=0.021220176886080945."
"0.13314018260377677","85.58","1.0","94.83019999999996","94.83019999999996","0.013314018260377678","0.013312330087157534","score[0.013312330087157534]","0.13314018260377677","844.0","0.005704748431009434","86.66","0.013314018260377678","84.4","1000","-1","1000","Epoch=1000,Best=0.013314018260377678,Worst=0.013314018260377678,Mean=0.013314018260377678,Stdev=0.0.","81813","Best=0.013312330087157534,Worst=0.14227887594269764,Mean=0.03836331604392706,Stdev=0.026387692190975823."
