# Experimental Run Tue Feb 05 13:53:11 EST 2008
Antigen Average Diversity (AAD),Average B-Cell BMU Per Antigen (ABC-BMU/Antigen),Average B-Cell Diversity (ABCD),Average B-Cell Error (ABCE),Average T-Cell BMU Per Antigen (ATC-BMU/Antigen),Average T-Cell Diversity (ATCD),Average T-Cell Error (ATCE),Average T-Cell Mapping Error (ATCME),Average T-Cell Selected Set Mapping Error (ATCSSME),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"85.46000000000001","NaN","87.971","NaN","NaN","31.295000000000005","NaN","31.509000000000004","26.833333333333332","0.4101950497283653","score[0.4101950497283653]","8.05516863380476","886.0","0.38992066009919024","83.53999999999999","0.805516863380476","88.6","1000","-1","1000","Epoch=1000,Best=0.805516863380476,Worst=0.805516863380476,Mean=0.805516863380476,Stdev=0.0.","99144","Best=0.4101950497283653,Worst=0.8911600080141252,Mean=0.6592732328890408,Stdev=0.07981345424270607."
"87.06000000000002","NaN","89.83560000000003","NaN","NaN","31.474800000000002","NaN","31.766999999999996","27.26666666666667","0.35371437722383436","score[0.35371437722383436]","7.362474916311134","917.0","0.3811185389675257","85.24","0.7362474916311135","91.7","1000","-1","1000","Epoch=1000,Best=0.7362474916311135,Worst=0.7362474916311135,Mean=0.7362474916311135,Stdev=0.0.","97222","Best=0.35371437722383436,Worst=0.8614444883941076,Mean=0.6306321135317254,Stdev=0.08261217725184183."
"84.74","NaN","88.82500000000003","NaN","NaN","31.56880000000001","NaN","31.671","27.2","0.3571221141095358","score[0.3571221141095358]","6.167815341535787","864.0","0.2888208242077059","86.58","0.6167815341535787","86.4","1000","-1","1000","Epoch=1000,Best=0.6167815341535787,Worst=0.6167815341535787,Mean=0.6167815341535787,Stdev=0.0.","98019","Best=0.3571221141095358,Worst=1.0130837538441488,Mean=0.7312341295466298,Stdev=0.09405345743825715."
"87.12000000000002","NaN","89.76219999999999","NaN","NaN","31.627999999999997","NaN","32.021","26.877777777777784","0.3897899231340868","score[0.3897899231340868]","6.648362553585037","894.0","0.3170720631364389","83.84","0.6648362553585037","89.4","1000","-1","1000","Epoch=1000,Best=0.6648362553585037,Worst=0.6648362553585037,Mean=0.6648362553585037,Stdev=0.0.","98160","Best=0.3897899231340868,Worst=0.8915194618151693,Mean=0.6501859429834564,Stdev=0.08295194303854757."
"85.9","NaN","89.46999999999998","NaN","NaN","31.588200000000008","NaN","31.998999999999995","27.68888888888889","0.380361067980144","score[0.380361067980144]","6.906262023359024","914.0","0.33058703114105653","85.1","0.6906262023359024","91.4","1000","-1","1000","Epoch=1000,Best=0.6906262023359024,Worst=0.6906262023359024,Mean=0.6906262023359024,Stdev=0.0.","97066","Best=0.380361067980144,Worst=0.905457018674514,Mean=0.6569468727449995,Stdev=0.08651050325983611."
"87.4","NaN","90.31599999999999","NaN","NaN","31.56440000000001","NaN","31.783000000000005","26.53333333333333","0.3532708719872094","score[0.3532708719872094]","5.775400331752319","898.0","0.2863112744001658","86.08","0.577540033175232","89.8","1000","-1","1000","Epoch=1000,Best=0.577540033175232,Worst=0.577540033175232,Mean=0.577540033175232,Stdev=0.0.","97067","Best=0.3532708719872094,Worst=0.8881490612079874,Mean=0.6202838596675718,Stdev=0.08274545519046943."
"83.9","NaN","89.51380000000003","NaN","NaN","31.611200000000007","NaN","31.470999999999997","26.977777777777778","0.3916924470712785","score[0.3916924470712785]","8.7980434923614","879.0","0.44149722504564465","86.19999999999999","0.8798043492361399","87.9","1000","-1","1000","Epoch=1000,Best=0.8798043492361399,Worst=0.8798043492361399,Mean=0.8798043492361399,Stdev=0.0.","100925","Best=0.3916924470712785,Worst=0.9444713882891536,Mean=0.7135399743875651,Stdev=0.08989094440593985."
"87.12","NaN","88.99239999999998","NaN","NaN","31.603999999999992","NaN","31.814999999999998","27.366666666666664","0.3818522938113157","score[0.3818522938113157]","6.667844440400449","930.0","0.32001086695869124","87.68","0.6667844440400449","93.0","1000","-1","1000","Epoch=1000,Best=0.6667844440400449,Worst=0.6667844440400449,Mean=0.6667844440400449,Stdev=0.0.","97082","Best=0.3818522938113157,Worst=0.8761177987724962,Mean=0.6267647495226932,Stdev=0.07577913822581848."
"86.88000000000001","NaN","87.76999999999994","NaN","NaN","31.512999999999998","NaN","31.824","27.711111111111116","0.34365516277435193","score[0.34365516277435193]","6.478119694585188","849.0","0.3248930522319647","86.7","0.6478119694585188","84.9","1000","-1","1000","Epoch=1000,Best=0.6478119694585188,Worst=0.6478119694585188,Mean=0.6478119694585188,Stdev=0.0.","97988","Best=0.34365516277435193,Worst=0.9312007802108493,Mean=0.6431257077876906,Stdev=0.08413297000603673."
"86.82000000000001","NaN","88.95039999999997","NaN","NaN","31.567200000000003","NaN","31.657999999999998","27.388888888888893","0.4037823582888018","score[0.4037823582888018]","7.530932433609533","951.0","0.35336433458583116","83.92","0.7530932433609533","95.1","1000","-1","1000","Epoch=1000,Best=0.7530932433609533,Worst=0.7530932433609533,Mean=0.7530932433609533,Stdev=0.0.","98426","Best=0.4037823582888018,Worst=0.9978887419172047,Mean=0.7434869221922008,Stdev=0.09810258399808046."
"85.56000000000002","NaN","88.83540000000002","NaN","NaN","31.5906","NaN","31.696999999999996","27.044444444444444","0.39382415018051997","score[0.39382415018051997]","5.965337397211026","896.0","0.27492075234868435","86.27999999999999","0.5965337397211026","89.6","1000","-1","1000","Epoch=1000,Best=0.5965337397211026,Worst=0.5965337397211026,Mean=0.5965337397211026,Stdev=0.0.","99582","Best=0.39382415018051997,Worst=0.9842490740192911,Mean=0.6898052419890917,Stdev=0.08770152970581449."
"87.48","NaN","89.78539999999995","NaN","NaN","31.575","NaN","31.881","27.822222222222216","0.38888490563310346","score[0.38888490563310346]","6.269655600856356","898.0","0.3002472757073124","85.24000000000001","0.6269655600856356","89.8","1000","-1","1000","Epoch=1000,Best=0.6269655600856356,Worst=0.6269655600856356,Mean=0.6269655600856356,Stdev=0.0.","104285","Best=0.38888490563310346,Worst=0.8517089327626659,Mean=0.6274412462543705,Stdev=0.07704909896221415."
"87.1","NaN","89.41619999999995","NaN","NaN","31.568599999999996","NaN","31.682000000000006","26.877777777777776","0.38642740765416767","score[0.38642740765416767]","6.604117305837029","921.0","0.32352508008069836","84.6","0.660411730583703","92.1","1000","-1","1000","Epoch=1000,Best=0.660411730583703,Worst=0.660411730583703,Mean=0.660411730583703,Stdev=0.0.","107286","Best=0.38642740765416767,Worst=0.9425665149500034,Mean=0.6838006488731374,Stdev=0.08050585126577814."
"86.72","NaN","89.97299999999997","NaN","NaN","31.442200000000003","NaN","31.833","26.43333333333333","0.4294012049267515","score[0.4294012049267515]","6.5486522087358","932.0","0.3420939287358124","87.08000000000001","0.65486522087358","93.2","1000","-1","1000","Epoch=1000,Best=0.65486522087358,Worst=0.65486522087358,Mean=0.65486522087358,Stdev=0.0.","121927","Best=0.4294012049267515,Worst=0.9488222727664148,Mean=0.6777845691444639,Stdev=0.08483564746334948."
"87.32","NaN","89.37520000000002","NaN","NaN","31.625800000000005","NaN","31.868000000000006","26.822222222222223","0.4274634781042921","score[0.4274634781042921]","7.098132770476603","889.0","0.32726715844602094","86.14000000000001","0.7098132770476603","88.9","1000","-1","1000","Epoch=1000,Best=0.7098132770476603,Worst=0.7098132770476603,Mean=0.7098132770476603,Stdev=0.0.","104051","Best=0.4274634781042921,Worst=0.9601707504628332,Mean=0.6955561567143762,Stdev=0.0864427351567445."
"86.25999999999999","NaN","89.35780000000003","NaN","NaN","31.6366","NaN","31.907999999999998","27.73333333333333","0.39781727906680786","score[0.39781727906680786]","7.247418141948282","909.0","0.34208054179093994","85.28","0.7247418141948282","90.9","1000","-1","1000","Epoch=1000,Best=0.7247418141948282,Worst=0.7247418141948282,Mean=0.7247418141948282,Stdev=0.0.","108520","Best=0.39781727906680786,Worst=0.8869089779917256,Mean=0.65225215338674,Stdev=0.08010726733842385."
