# Experimental Run Mon Feb 04 22:58:41 ACT 2008
Antigen Average Diversity (AAD),Average B-Cell BMU Per Antigen (ABC-BMU/Antigen),Average B-Cell Diversity (ABCD),Average B-Cell Error (ABCE),Average T-Cell BMU Per Antigen (ATC-BMU/Antigen),Average T-Cell Diversity (ATCD),Average T-Cell Error (ATCE),Average T-Cell Mapping Error (ATCME),Average T-Cell Selected Set Mapping Error (ATCSSME),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"86.85999999999999","NaN","30.6742","NaN","NaN","89.04379999999998","NaN","2.256022284468878","0.91972376886711","0.08697737030034598","score[0.08697737030034598]","2.049062521666493","925.0","0.10637121956922287","71.35999999999999","0.2049062521666493","92.5","1000","-1","1000","Epoch=1000,Best=0.2049062521666493,Worst=0.2049062521666493,Mean=0.2049062521666493,Stdev=0.0.","99516","Best=0.08697737030034598,Worst=0.41264798663733976,Mean=0.2396267755133495,Stdev=0.06330073377136441."
"85.58","NaN","31.037799999999997","NaN","NaN","88.55980000000005","NaN","2.3680236490994497","0.6591213934860825","0.04575872923987419","score[0.04575872923987419]","1.158225452220317","933.0","0.05696362688656453","80.64","0.1158225452220317","93.3","1000","-1","1000","Epoch=1000,Best=0.1158225452220317,Worst=0.1158225452220317,Mean=0.1158225452220317,Stdev=0.0.","99563","Best=0.04575872923987419,Worst=0.26013643335816006,Mean=0.11706962998926593,Stdev=0.038061860453051655."
"86.64","NaN","30.134999999999994","NaN","NaN","88.65160000000006","NaN","2.5427568413146004","0.8536175602607651","0.12045904721377658","score[0.12045904721377658]","2.298529668002446","936.0","0.11197946827607544","81.83999999999999","0.2298529668002446","93.6","1000","-1","1000","Epoch=1000,Best=0.2298529668002446,Worst=0.2298529668002446,Mean=0.2298529668002446,Stdev=0.0.","99547","Best=0.12045904721377658,Worst=0.35999999609124844,Mean=0.22049241856055196,Stdev=0.04032156797751089."
"85.86","NaN","30.355800000000013","NaN","NaN","90.10960000000001","NaN","2.3867229417868394","0.8039403327056338","0.10709504974410378","score[0.10709504974410378]","2.6179479510520354","894.0","0.1264946716572534","82.9","0.26179479510520354","89.4","1000","-1","1000","Epoch=1000,Best=0.26179479510520354,Worst=0.26179479510520354,Mean=0.26179479510520354,Stdev=0.0.","98344","Best=0.10709504974410378,Worst=0.526153245028247,Mean=0.2580415387729749,Stdev=0.0532621629990961."
"84.9","NaN","30.04960000000002","NaN","NaN","89.52779999999997","NaN","2.012309084831223","0.5163026041830752","0.10024324742513849","score[0.10024324742513849]","1.9688781305776253","932.0","0.09255657615636599","83.66","0.19688781305776254","93.2","1000","-1","1000","Epoch=1000,Best=0.19688781305776254,Worst=0.19688781305776254,Mean=0.19688781305776254,Stdev=0.0.","98235","Best=0.10024324742513849,Worst=0.31548025192667556,Mean=0.18191787199961137,Stdev=0.034638580876741244."
"86.5","NaN","31.23739999999999","NaN","NaN","89.15859999999999","NaN","2.232833126093999","0.6691199379141544","0.12189724043289366","score[0.12189724043289366]","2.5095005024678474","963.0","0.11508049887673943","74.96000000000001","0.25095005024678474","96.3","1000","-1","1000","Epoch=1000,Best=0.25095005024678474,Worst=0.25095005024678474,Mean=0.25095005024678474,Stdev=0.0.","98125","Best=0.12189724043289366,Worst=0.32368653547008575,Mean=0.2179582767966278,Stdev=0.034816157658013505."
"85.46000000000001","NaN","30.70700000000001","NaN","NaN","88.3774","NaN","2.7860761822379123","1.0294910672312083","0.09029147637314097","score[0.09029147637314097]","2.345675875656397","923.0","0.10514636685332837","83.20000000000002","0.23456758756563972","92.3","1000","-1","1000","Epoch=1000,Best=0.23456758756563972,Worst=0.23456758756563972,Mean=0.23456758756563972,Stdev=0.0.","98234","Best=0.09029147637314097,Worst=0.41695964736936675,Mean=0.20512402110367528,Stdev=0.05696330544483028."
"86.7","NaN","30.816","NaN","NaN","90.12979999999997","NaN","1.7298326049665274","0.33446828860264344","0.12262806405795312","score[0.12262806405795312]","1.9162677181283867","931.0","0.08242629274390245","84.67999999999999","0.19162677181283866","93.1","1000","-1","1000","Epoch=1000,Best=0.19162677181283866,Worst=0.19162677181283866,Mean=0.19162677181283866,Stdev=0.0.","98203","Best=0.12262806405795312,Worst=0.2928629698137889,Mean=0.18157274213285438,Stdev=0.02821087149139108."
"86.64000000000001","NaN","30.637600000000006","NaN","NaN","89.18060000000001","NaN","2.4404614899006662","0.8505249769146916","0.11384169277028273","score[0.11384169277028273]","1.88878039121659","915.0","0.09053044893074376","78.58","0.18887803912165899","91.5","1000","-1","1000","Epoch=1000,Best=0.18887803912165899,Worst=0.18887803912165899,Mean=0.18887803912165899,Stdev=0.0.","98157","Best=0.11384169277028273,Worst=0.3098917102155149,Mean=0.19598458203404392,Stdev=0.028814847414596643."
"85.58","NaN","31.177000000000003","NaN","NaN","89.0896","NaN","2.188229154860051","1.0518002896055598","0.13974641355166814","score[0.13974641355166814]","2.5629272308984508","957.0","0.1106728103445935","84.0","0.2562927230898451","95.7","1000","-1","1000","Epoch=1000,Best=0.2562927230898451,Worst=0.2562927230898451,Mean=0.2562927230898451,Stdev=0.0.","98281","Best=0.13974641355166814,Worst=0.3797102119496918,Mean=0.23668943938390238,Stdev=0.02871879267416221."
