# Experimental Run Sun Jan 20 19:12:20 ACT 2008
Average Error Euclidean,Average Error Hamming,Best Score,Best Solution,Diversity Optima,Diversity Solution,Average Tissue Diversity (ATD),Epoch Count,EpochLocatedOptimalScore,Average Tissue Error (ATE),Evaluation Count,Host Diversity (HD),Host Error (HE),Last Epoch Summary,RMSE Euclidean,RMSE Hamming,Run Time Milliseconds,Score Summary
"0.08014243005424763","95.4","0.053313671419060536","score[0.053313671419060536]","86.86","77.53999999999999","84.33279999999999","1000","Unsupported","0.11469284221275966","1000","907.4399999999999","0.08014243005424763","Epoch=1000,Best=0.08014243005424763,Worst=0.08014243005424763,Mean=0.08014243005424763,Stdev=0.0.","0.31074391686906727","302.7143868401368","100656","Best=0.053313671419060536,Worst=0.13367240561392965,Mean=0.07203259631206003,Stdev=0.011537974153921646."
"0.07977516657036723","93.5","0.06476018843610828","score[0.06476018843610828]","85.58","76.48","82.19424000000001","1000","Unsupported","0.13371645425638418","1000","865.5600000000001","0.07977516657036723","Epoch=1000,Best=0.07977516657036723,Worst=0.07977516657036723,Mean=0.07977516657036723,Stdev=0.0.","0.28850380099016587","296.26508400417356","100985","Best=0.06476018843610828,Worst=0.16434041333336724,Mean=0.08188469761012097,Stdev=0.012966968766896557."
"0.10795144064006006","95.2","0.08191524406528675","score[0.08191524406528675]","86.64","77.52000000000001","81.94648000000002","1000","Unsupported","0.16685737237052156","1000","739.3","0.10795144064006006","Epoch=1000,Best=0.10795144064006006,Worst=0.10795144064006006,Mean=0.10795144064006006,Stdev=0.0.","0.419119012626418","303.0115509349437","101093","Best=0.08191524406528675,Worst=0.15623071413994874,Mean=0.10324545613829654,Stdev=0.012656082802803599."
"0.051248277762250015","90.0","0.04513010992673862","score[0.04513010992673862]","85.86","75.74","81.82328000000001","1000","Unsupported","0.1571207378299454","1000","823.3","0.051248277762250015","Epoch=1000,Best=0.051248277762250015,Worst=0.051248277762250015,Mean=0.051248277762250015,Stdev=0.0.","0.18308716832696526","285.72714256787015","100985","Best=0.04513010992673862,Worst=0.1718919097756582,Mean=0.0754465295966873,Stdev=0.013038744651158944."
"0.10082787340180943","93.4","0.06669606307988492","score[0.06669606307988492]","84.9","85.45999999999998","83.67728000000001","1000","Unsupported","0.16337052872633698","1000","840.0","0.10082787340180943","Epoch=1000,Best=0.10082787340180943,Worst=0.10082787340180943,Mean=0.10082787340180943,Stdev=0.0.","0.4483706635836868","296.3443942442644","101203","Best=0.06669606307988492,Worst=0.148440042808811,Mean=0.08910541510400885,Stdev=0.014907331125555454."
"0.12965913624052364","93.0","0.08375986731715371","score[0.08375986731715371]","86.5","75.46","83.78536","1000","Unsupported","0.18714438967332464","1000","815.22","0.12965913624052364","Epoch=1000,Best=0.12965913624052364,Worst=0.12965913624052364,Mean=0.12965913624052364,Stdev=0.0.","0.5220463556176655","295.1270912674741","100828","Best=0.08375986731715371,Worst=0.19722316593784162,Mean=0.11145717505894943,Stdev=0.013362340617020295."
"0.0733841696417387","89.2","0.05939721524748889","score[0.05939721524748889]","85.46","86.06","88.11376","1000","Unsupported","0.13751041284017335","1000","871.72","0.0733841696417387","Epoch=1000,Best=0.0733841696417387,Worst=0.0733841696417387,Mean=0.0733841696417387,Stdev=0.0.","0.2703179022105063","283.15366852647344","101922","Best=0.05939721524748889,Worst=0.15013789449657713,Mean=0.07828612783302873,Stdev=0.013644187045983509."
"0.08281471030754457","87.8","0.07429296557426066","score[0.07429296557426066]","86.7","81.38000000000001","82.93359999999998","1000","Unsupported","0.15771741215755872","1000","774.6400000000001","0.08281471030754457","Epoch=1000,Best=0.08281471030754457,Worst=0.08281471030754457,Mean=0.08281471030754457,Stdev=0.0.","0.3448532546899462","278.5318653224439","100891","Best=0.07429296557426066,Worst=0.14842479972757988,Mean=0.10327529787582071,Stdev=0.013549811363672526."
"0.056211138790389595","89.2","0.05151560367520639","score[0.05151560367520639]","86.64","80.92","82.97551999999999","1000","Unsupported","0.1433762271230749","1000","881.4","0.056211138790389595","Epoch=1000,Best=0.056211138790389595,Worst=0.056211138790389595,Mean=0.056211138790389595,Stdev=0.0.","0.21532051140032643","282.72955275315667","101094","Best=0.05151560367520639,Worst=0.1261706860465313,Mean=0.07715020426892731,Stdev=0.013026247951002216."
"0.0616210875708211","88.6","0.03739842125748086","score[0.03739842125748086]","85.58","77.25999999999999","80.72352","1000","Unsupported","0.1206307336643141","1000","737.24","0.0616210875708211","Epoch=1000,Best=0.0616210875708211,Worst=0.0616210875708211,Mean=0.0616210875708211,Stdev=0.0.","0.2568889763234484","280.6064860262499","100797","Best=0.03739842125748086,Worst=0.16485007788018127,Mean=0.07301520173042561,Stdev=0.023219729373849148."
"0.057370180603472945","90.9","0.04056157373050868","score[0.04056157373050868]","86.38","84.32","81.61376","1000","Unsupported","0.13726460446377167","1000","877.04","0.057370180603472945","Epoch=1000,Best=0.057370180603472945,Worst=0.057370180603472945,Mean=0.057370180603472945,Stdev=0.0.","0.20845152849803017","287.92533754430156","101250","Best=0.04056157373050868,Worst=0.17737802355996912,Mean=0.06752557597312622,Stdev=0.012652757744138283."
"0.07907058299981923","91.2","0.056872510039360544","score[0.056872510039360544]","87.58","79.74","79.50832","1000","Unsupported","0.15069613886416397","1000","845.9200000000001","0.07907058299981923","Epoch=1000,Best=0.07907058299981923,Worst=0.07907058299981923,Mean=0.07907058299981923,Stdev=0.0.","0.3426145473397002","289.93792439072195","100687","Best=0.056872510039360544,Worst=0.15525594073062868,Mean=0.08534641896810855,Stdev=0.015109682181238713."
