# Experimental Run Mon Jan 21 06:04:37 ACT 2008
Average Error Euclidean,Average Error Hamming,Best Score,Best Solution,Diversity Optima,Diversity Solution,Average Tissue Diversity (ATD),Epoch Count,EpochLocatedOptimalScore,Average Tissue Error (ATE),Evaluation Count,Host Diversity (HD),Host Error (HE),Last Epoch Summary,RMSE Euclidean,RMSE Hamming,Run Time Milliseconds,Score Summary
"0.0985954565651183","93.0","0.06416620014232331","score[0.06416620014232331]","86.86","67.66","75.43592","1000","Unsupported","0.08713278717214819","1000","694.62","0.0985954565651183","Epoch=1000,Best=0.0985954565651183,Worst=0.0985954565651183,Mean=0.0985954565651183,Stdev=0.0.","0.41124848048747553","295.5469505848436","85562","Best=0.06416620014232331,Worst=0.17651959768552064,Mean=0.1115010196327379,Stdev=0.018522843873151076."
"0.07743832100822598","96.4","0.05511420326399917","score[0.05511420326399917]","85.58","73.14000000000001","75.32672000000001","1000","Unsupported","0.08861801251277128","1000","672.76","0.07743832100822598","Epoch=1000,Best=0.07743832100822598,Worst=0.07743832100822598,Mean=0.07743832100822598,Stdev=0.0.","0.3339087517558215","305.28675044947494","85782","Best=0.05511420326399917,Worst=0.18531585775394685,Mean=0.104605091950166,Stdev=0.02226926524073666."
"0.14425090125374657","93.0","0.06570405253811054","score[0.06570405253811054]","86.64","77.24000000000001","79.30048","1000","Unsupported","0.10140972953046304","1000","616.9200000000001","0.14425090125374657","Epoch=1000,Best=0.14425090125374657,Worst=0.14425090125374657,Mean=0.14425090125374657,Stdev=0.0.","0.5049362553429237","294.5165530152762","85656","Best=0.06570405253811054,Worst=0.19299595729346702,Mean=0.11000008771149934,Stdev=0.021461527322712653."
"0.15561392955187353","94.6","0.07062507917144106","score[0.07062507917144106]","85.86","78.06000000000002","73.93767999999999","1000","Unsupported","0.13353820395825636","1000","629.4600000000002","0.15561392955187353","Epoch=1000,Best=0.15561392955187353,Worst=0.15561392955187353,Mean=0.15561392955187353,Stdev=0.0.","0.577384288418136","299.8966488642379","85125","Best=0.07062507917144106,Worst=0.21125506738239025,Mean=0.12239374524492733,Stdev=0.01898407882846264."
"0.12676537087658554","96.7","0.08796122038208495","score[0.08796122038208495]","84.9","69.08","72.4852","1000","Unsupported","0.11576842234168891","1000","681.06","0.12676537087658554","Epoch=1000,Best=0.12676537087658554,Worst=0.12676537087658554,Mean=0.12676537087658554,Stdev=0.0.","0.47616330825751463","306.4065926183704","86062","Best=0.08796122038208495,Worst=0.20672973048826168,Mean=0.13707991631335212,Stdev=0.018173345880740443."
"0.1178613357983519","95.2","0.08823084339953005","score[0.08823084339953005]","86.5","66.94","71.65575999999999","1000","Unsupported","0.11345278989028736","1000","684.3","0.1178613357983519","Epoch=1000,Best=0.1178613357983519,Worst=0.1178613357983519,Mean=0.1178613357983519,Stdev=0.0.","0.46383760992769324","301.75486740067674","86016","Best=0.08823084339953005,Worst=0.2260495843975609,Mean=0.13825264198248177,Stdev=0.022772949674922303."
"0.09639314933058757","89.8","0.08695504136775892","score[0.08695504136775892]","85.46","82.14000000000001","81.71144","1000","Unsupported","0.11405753935738441","1000","861.9800000000001","0.09639314933058757","Epoch=1000,Best=0.09639314933058757,Worst=0.09639314933058757,Mean=0.09639314933058757,Stdev=0.0.","0.37470896546146903","284.8087077320495","86125","Best=0.08695504136775892,Worst=0.18805163315895787,Mean=0.12492072794609872,Stdev=0.0201908803344647."
"0.0855465799591241","93.6","0.07660050601984583","score[0.07660050601984583]","86.7","77.02","77.68400000000001","1000","Unsupported","0.09803867202476046","1000","683.8399999999999","0.0855465799591241","Epoch=1000,Best=0.0855465799591241,Worst=0.0855465799591241,Mean=0.0855465799591241,Stdev=0.0.","0.3265884620208134","296.41862289674043","85750","Best=0.07660050601984583,Worst=0.21248716937106074,Mean=0.12748626212716865,Stdev=0.021291752611337963."
"0.11796817764358462","94.8","0.08050527647140812","score[0.08050527647140812]","86.64","67.56","66.57544","1000","Unsupported","0.1019569306912395","1000","635.58","0.11796817764358462","Epoch=1000,Best=0.11796817764358462,Worst=0.11796817764358462,Mean=0.11796817764358462,Stdev=0.0.","0.44166257093918765","300.3364779709584","84234","Best=0.08050527647140812,Worst=0.16501544402967597,Mean=0.11301706454264539,Stdev=0.01518795089185559."
"0.09905229493386283","91.4","0.07818622844386783","score[0.07818622844386783]","85.58","78.7","81.49087999999999","1000","Unsupported","0.10955405617722438","1000","710.9200000000001","0.09905229493386283","Epoch=1000,Best=0.09905229493386283,Worst=0.09905229493386283,Mean=0.09905229493386283,Stdev=0.0.","0.3506102941466567","289.5444698142239","86750","Best=0.07818622844386783,Worst=0.2211099461976585,Mean=0.12408973903445135,Stdev=0.01587967539994182."
"0.11410485458710498","95.8","0.07979832345014276","score[0.07979832345014276]","86.38","71.98","73.94824000000001","1000","Unsupported","0.11214853294627454","1000","670.8599999999999","0.11410485458710498","Epoch=1000,Best=0.11410485458710498,Worst=0.11410485458710498,Mean=0.11410485458710498,Stdev=0.0.","0.4573341502544122","303.4666373755112","84766","Best=0.07979832345014276,Worst=0.20395548164849112,Mean=0.12002644224797797,Stdev=0.021040628820611987."
"0.1290591364503225","96.3","0.09959130047823406","score[0.09959130047823406]","87.58","75.2","75.73944000000002","1000","Unsupported","0.1436483860565759","1000","710.34","0.1290591364503225","Epoch=1000,Best=0.1290591364503225,Worst=0.1290591364503225,Mean=0.1290591364503225,Stdev=0.0.","0.48629107992240006","305.16389039334257","85828","Best=0.09959130047823406,Worst=0.20796840516501097,Mean=0.14251494734918152,Stdev=0.01929126420564041."
