# Experimental Run Mon Feb 11 23:59:11 ACT 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average BMU Per Antigen (ABMU/Antigen),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Average Cell Mapped Diversity (ACMD),Average Mapped BMU Euclidean Error (AMBMUEE),Average Mapped BMU Hamming Error (AMBMUHE),Average Network Cell Diversity (ANCD),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"NaN","86.85999999999999","NaN","89.12460000000003","89.12460000000003","NaN","88.70799999999991","NaN","NaN","177.83260000000007","0.027244965193522257","score[0.027244965193522257]","0.3072544489843425","876.0","NaN","84.70000000000002","0.03072544489843425","87.6","1000","-1","1000","Epoch=1000,Best=0.03072544489843425,Worst=0.03072544489843425,Mean=0.03072544489843425,Stdev=0.0.","205110","Best=0.027244965193522257,Worst=0.15483691463519703,Mean=0.07061352924642401,Stdev=0.027276636079563474."
"NaN","85.58","NaN","89.12100000000004","89.12100000000004","NaN","85.91839999999996","NaN","NaN","175.03940000000006","0.027520847442281664","score[0.027520847442281664]","0.5387925366635802","870.0","NaN","85.46000000000001","0.05387925366635802","87.0","1000","-1","1000","Epoch=1000,Best=0.05387925366635802,Worst=0.05387925366635802,Mean=0.05387925366635802,Stdev=0.0.","203250","Best=0.027520847442281664,Worst=0.1407181371659267,Mean=0.06482069799613,Stdev=0.023878823859878072."
"NaN","86.64","NaN","89.68139999999998","89.68139999999998","NaN","88.9156","NaN","NaN","178.59700000000004","0.03492878687415208","score[0.03492878687415208]","0.7244483485507426","864.0","NaN","85.96000000000001","0.07244483485507426","86.4","1000","-1","1000","Epoch=1000,Best=0.07244483485507426,Worst=0.07244483485507426,Mean=0.07244483485507426,Stdev=0.0.","203203","Best=0.03492878687415208,Worst=0.14379683361027246,Mean=0.06471579709989864,Stdev=0.020989638619058597."
"NaN","85.86","NaN","88.51520000000001","88.51520000000001","NaN","90.16319999999996","NaN","NaN","178.6784","0.03550870954340734","score[0.03550870954340734]","0.5130682239024853","904.0","NaN","86.9","0.05130682239024853","90.4","1000","-1","1000","Epoch=1000,Best=0.05130682239024853,Worst=0.05130682239024853,Mean=0.05130682239024853,Stdev=0.0.","204688","Best=0.03550870954340734,Worst=0.17970850748312217,Mean=0.08116679334590993,Stdev=0.021308741406910803."
"NaN","84.9","NaN","88.2176","88.2176","NaN","88.27720000000001","NaN","NaN","176.49480000000005","0.027464518347339494","score[0.027464518347339494]","0.3908607785986376","882.0","NaN","86.38","0.03908607785986376","88.2","1000","-1","1000","Epoch=1000,Best=0.03908607785986376,Worst=0.03908607785986376,Mean=0.03908607785986376,Stdev=0.0.","205328","Best=0.027464518347339494,Worst=0.15540554230844475,Mean=0.07363678800717328,Stdev=0.030632686704205887."
"NaN","86.5","NaN","89.0774","89.0774","NaN","88.84840000000003","NaN","NaN","177.92579999999998","0.0029028830336484254","score[0.0029028830336484254]","0.029028830336484256","808.0","NaN","85.49999999999999","0.0029028830336484254","80.8","1000","-1","1000","Epoch=1000,Best=0.0029028830336484254,Worst=0.0029028830336484254,Mean=0.0029028830336484254,Stdev=0.0.","205062","Best=0.0029028830336484254,Worst=0.16597934527438535,Mean=0.030042084244656656,Stdev=0.03210543522858165."
"NaN","85.46000000000001","NaN","88.77999999999996","88.77999999999996","NaN","89.04200000000004","NaN","NaN","177.82200000000003","0.001015076476477337","score[0.001015076476477337]","0.01015076476477337","788.0","NaN","85.78","0.001015076476477337","78.8","1000","-1","1000","Epoch=1000,Best=0.001015076476477337,Worst=0.001015076476477337,Mean=0.001015076476477337,Stdev=0.0.","205235","Best=0.001015076476477337,Worst=0.133047772854287,Mean=0.0365948658416069,Stdev=0.039509132526436536."
"NaN","86.7","NaN","89.582","89.582","NaN","90.39880000000007","NaN","NaN","179.98080000000004","0.004680549757034733","score[0.004680549757034733]","0.046805497570347326","752.0","NaN","86.38","0.004680549757034733","75.2","1000","-1","1000","Epoch=1000,Best=0.004680549757034733,Worst=0.004680549757034733,Mean=0.004680549757034733,Stdev=0.0.","205594","Best=0.004680549757034733,Worst=0.14009450865986972,Mean=0.03337491072271925,Stdev=0.028291560433745942."
"NaN","86.64000000000001","NaN","88.68460000000003","88.68460000000003","NaN","90.53279999999997","NaN","NaN","179.21740000000003","0.02705077887776828","score[0.02705077887776828]","0.4005925475407577","864.0","NaN","87.88000000000001","0.04005925475407577","86.4","1000","-1","1000","Epoch=1000,Best=0.04005925475407577,Worst=0.04005925475407577,Mean=0.04005925475407577,Stdev=0.0.","205312","Best=0.02705077887776828,Worst=0.11584474979713577,Mean=0.06044845579283449,Stdev=0.01783083261602283."
"NaN","85.58","NaN","88.61020000000002","88.61020000000002","NaN","89.47820000000002","NaN","NaN","178.0884","8.494707554940878E-4","score[8.494707554940878E-4]","0.008494707554940879","788.0","NaN","85.22000000000001","8.494707554940878E-4","78.8","1000","-1","1000","Epoch=1000,Best=8.494707554940878E-4,Worst=8.494707554940878E-4,Mean=8.494707554940878E-4,Stdev=0.0.","204843","Best=8.494707554940878E-4,Worst=0.14415900467107284,Mean=0.031302320565034666,Stdev=0.029017207216791865."
