# Experimental Run Tue Feb 12 03:23:42 ACT 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average BMU Per Antigen (ABMU/Antigen),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Average Cell Mapped Diversity (ACMD),Average Mapped BMU Euclidean Error (AMBMUEE),Average Mapped BMU Hamming Error (AMBMUHE),Average Network Cell Diversity (ANCD),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"NaN","86.85999999999999","NaN","89.8806","89.8806","NaN","90.4912","NaN","NaN","180.37179999999992","0.13143130558949073","score[0.13143130558949073]","1.7722882639592588","936.0","NaN","75.3","0.17722882639592588","93.6","1000","-1","1000","Epoch=1000,Best=0.17722882639592588,Worst=0.17722882639592588,Mean=0.17722882639592588,Stdev=0.0.","205891","Best=0.13143130558949073,Worst=0.2671643636053795,Mean=0.19530506558443933,Stdev=0.019478504676425052."
"NaN","85.58","NaN","89.0854","89.0854","NaN","88.648","NaN","NaN","177.7334","0.13616593880922367","score[0.13616593880922367]","1.6508307902143107","941.0","NaN","78.2","0.16508307902143107","94.1","1000","-1","1000","Epoch=1000,Best=0.16508307902143107,Worst=0.16508307902143107,Mean=0.16508307902143107,Stdev=0.0.","204610","Best=0.13616593880922367,Worst=0.25121613841343693,Mean=0.18739859007578688,Stdev=0.01963432012894837."
"NaN","86.64","NaN","87.91979999999994","87.91979999999994","NaN","88.85800000000003","NaN","NaN","176.77779999999998","0.1416682059739144","score[0.1416682059739144]","1.7084396652999918","961.0","NaN","83.89999999999999","0.17084396652999917","96.1","1000","-1","1000","Epoch=1000,Best=0.17084396652999917,Worst=0.17084396652999917,Mean=0.17084396652999917,Stdev=0.0.","205218","Best=0.1416682059739144,Worst=0.2707946264179603,Mean=0.1999036446580601,Stdev=0.021084399608159263."
"NaN","85.86","NaN","88.58180000000002","88.58180000000002","NaN","89.54100000000003","NaN","NaN","178.12280000000007","0.14264370684194003","score[0.14264370684194003]","2.312067431350098","928.0","NaN","78.97999999999999","0.23120674313500983","92.8","1000","-1","1000","Epoch=1000,Best=0.23120674313500983,Worst=0.23120674313500983,Mean=0.23120674313500983,Stdev=0.0.","205422","Best=0.14264370684194003,Worst=0.2994251693819798,Mean=0.2185464805108511,Stdev=0.023918830823172563."
"NaN","84.9","NaN","89.7054","89.7054","NaN","91.14739999999998","NaN","NaN","180.85279999999995","0.13430880813190002","score[0.13430880813190002]","2.1850796962688226","969.0","NaN","74.27999999999999","0.21850796962688226","96.9","1000","-1","1000","Epoch=1000,Best=0.21850796962688226,Worst=0.21850796962688226,Mean=0.21850796962688226,Stdev=0.0.","205344","Best=0.13430880813190002,Worst=0.2918292417814243,Mean=0.21049899026564714,Stdev=0.026393671957264817."
"NaN","86.5","NaN","89.26499999999996","89.26499999999996","NaN","88.866","NaN","NaN","178.13099999999997","0.13677621801515394","score[0.13677621801515394]","1.9159129568936797","963.0","NaN","80.08","0.19159129568936797","96.3","1000","-1","1000","Epoch=1000,Best=0.19159129568936797,Worst=0.19159129568936797,Mean=0.19159129568936797,Stdev=0.0.","205796","Best=0.13677621801515394,Worst=0.2460926348232279,Mean=0.19922763143742425,Stdev=0.018697169662487616."
"NaN","85.46000000000001","NaN","89.37219999999999","89.37219999999999","NaN","89.4","NaN","NaN","178.77219999999997","0.12185933800982969","score[0.12185933800982969]","2.320735601514867","936.0","NaN","74.34","0.23207356015148667","93.6","1000","-1","1000","Epoch=1000,Best=0.23207356015148667,Worst=0.23207356015148667,Mean=0.23207356015148667,Stdev=0.0.","205453","Best=0.12185933800982969,Worst=0.38323147057519924,Mean=0.28097050479221325,Stdev=0.03623848823166214."
"NaN","86.7","NaN","89.28439999999999","89.28439999999999","NaN","90.2242","NaN","NaN","179.5086000000001","0.1438104232419604","score[0.1438104232419604]","2.299468793091562","992.0","NaN","80.78","0.2299468793091562","99.2","1000","-1","1000","Epoch=1000,Best=0.2299468793091562,Worst=0.2299468793091562,Mean=0.2299468793091562,Stdev=0.0.","205328","Best=0.1438104232419604,Worst=0.2901301498234472,Mean=0.22061036677438006,Stdev=0.02174769190227008."
"NaN","86.64000000000001","NaN","87.4412","87.4412","NaN","88.6692","NaN","NaN","176.11039999999997","0.11030777014969977","score[0.11030777014969977]","1.785537826664408","959.0","NaN","81.10000000000001","0.17855378266644079","95.9","1000","-1","1000","Epoch=1000,Best=0.17855378266644079,Worst=0.17855378266644079,Mean=0.17855378266644079,Stdev=0.0.","205203","Best=0.11030777014969977,Worst=0.21894535853984837,Mean=0.16640771147647296,Stdev=0.016933824164698425."
"NaN","85.58","NaN","89.73579999999998","89.73579999999998","NaN","89.7632","NaN","NaN","179.49900000000002","0.10327374549157804","score[0.10327374549157804]","1.0333535293772647","961.0","NaN","84.64","0.10333535293772647","96.1","1000","-1","1000","Epoch=1000,Best=0.10333535293772647,Worst=0.10333535293772647,Mean=0.10333535293772647,Stdev=0.0.","205672","Best=0.10327374549157804,Worst=0.212167301594818,Mean=0.15232258638875873,Stdev=0.015813944355992905."
