# Experimental Run Fri Jan 25 02:00:32 ACT 2008
Average Error Euclidean,Average Error Hamming,Average Host Diversity (AHD),Average Host Error (AHE),Best Score,Best Solution,Diversity Optima,Diversity Solution,Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Population Diversity (PD),Population Error (PE),RMSE Euclidean,RMSE Hamming,Run Time Milliseconds,Score Summary
"0.014786025669827566","83.4","78.81823999999999","0.07081195291813369","0.012388480021154613","score[0.012388480021154613]","86.86","87.37999999999998","1000","Unsupported","1000","Epoch=1000,Best=0.014786025669827566,Worst=0.014786025669827566,Mean=0.014786025669827566,Stdev=0.0.","2023.5600000000002","0.014786025669827566","0.06833246700063526","265.1112973828162","226656","Best=0.012388480021154613,Worst=0.0611366677745261,Mean=0.02323203922186684,Stdev=0.010161964616557623."
"0.018984289870090865","89.4","77.94056","0.07043295120942092","0.01673285329306861","score[0.01673285329306861]","85.58","84.9","1000","Unsupported","1000","Epoch=1000,Best=0.018984289870090865,Worst=0.018984289870090865,Mean=0.018984289870090865,Stdev=0.0.","2103.9","0.018984289870090865","0.07940761652033866","283.7957011654687","226375","Best=0.01673285329306861,Worst=0.06349468850914256,Mean=0.02741615256286122,Stdev=0.007236895573813612."
"0.03692745269239545","92.4","71.4636","0.10740807276042781","0.02152731343330433","score[0.02152731343330433]","86.64","84.28","1000","Unsupported","1000","Epoch=1000,Best=0.03692745269239545,Worst=0.03692745269239545,Mean=0.03692745269239545,Stdev=0.0.","2399.66","0.03692745269239545","0.16183638087014882","292.75245515622925","226500","Best=0.02152731343330433,Worst=0.0856782847773221,Mean=0.03855179231098372,Stdev=0.008048284642944298."
"0.02601436181255871","91.8","75.87864","0.11339515019216288","0.014759553405062482","score[0.014759553405062482]","85.86","86.86","1000","Unsupported","1000","Epoch=1000,Best=0.02601436181255871,Worst=0.02601436181255871,Mean=0.02601436181255871,Stdev=0.0.","2229.8599999999997","0.02601436181255871","0.110361840293748","291.3211286535874","226406","Best=0.014759553405062482,Worst=0.0781594134549457,Mean=0.03254326240105789,Stdev=0.012581915707250677."
"0.02499766633966356","83.0","77.49351999999999","0.10527130213450198","0.015597891513845932","score[0.015597891513845932]","84.9","86.78","1000","Unsupported","1000","Epoch=1000,Best=0.02499766633966356,Worst=0.02499766633966356,Mean=0.02499766633966356,Stdev=0.0.","2108.6600000000003","0.02499766633966356","0.11395735689251998","263.06653150866606","226797","Best=0.015597891513845932,Worst=0.0669345927096039,Mean=0.033247850543603824,Stdev=0.009658836568001036."
"0.023866433237577114","86.2","80.1308","0.07886245275645232","0.014177659048073226","score[0.014177659048073226]","86.5","87.53999999999999","1000","Unsupported","1000","Epoch=1000,Best=0.023866433237577114,Worst=0.023866433237577114,Mean=0.023866433237577114,Stdev=0.0.","1962.2199999999998","0.023866433237577114","0.13245662549169415","273.07874322253645","226484","Best=0.014177659048073226,Worst=0.07132001496194791,Mean=0.028403028695442086,Stdev=0.01215163876920471."
"0.02126488655823325","87.0","77.98760000000001","0.09030264864865409","0.013402492410946959","score[0.013402492410946959]","85.46","85.58","1000","Unsupported","1000","Epoch=1000,Best=0.02126488655823325,Worst=0.02126488655823325,Mean=0.02126488655823325,Stdev=0.0.","2098.66","0.02126488655823325","0.11726383196118159","275.60116110060204","226688","Best=0.013402492410946959,Worst=0.07254058242076186,Mean=0.026691789486393797,Stdev=0.010323475225431903."
"0.009859273104219697","84.0","79.73752","0.08360407002171275","0.009859273104219697","score[0.009859273104219697]","86.7","87.06","1000","Unsupported","1000","Epoch=1000,Best=0.009859273104219697,Worst=0.009859273104219697,Mean=0.009859273104219697,Stdev=0.0.","1967.6200000000001","0.009859273104219697","0.05895423560146951","265.947363213099","226718","Best=0.009859273104219697,Worst=0.06823248949497565,Mean=0.030322835746899614,Stdev=0.010909164083935706."
"0.029291067773581807","89.8","75.31775999999999","0.08575093339658746","0.01835574251257624","score[0.01835574251257624]","86.64","85.44","1000","Unsupported","1000","Epoch=1000,Best=0.029291067773581807,Worst=0.029291067773581807,Mean=0.029291067773581807,Stdev=0.0.","2261.12","0.029291067773581807","0.13288311239476103","284.9771920698216","226219","Best=0.01835574251257624,Worst=0.0777630439617243,Mean=0.029735862832204193,Stdev=0.007935166574780375."
"0.007170051489409135","85.2","83.9708","0.0394616597800736","0.006246521107056159","score[0.006246521107056159]","85.58","84.97999999999999","1000","Unsupported","1000","Epoch=1000,Best=0.007170051489409135,Worst=0.007170051489409135,Mean=0.007170051489409135,Stdev=0.0.","1641.7","0.007170051489409135","0.04275830603322734","270.42189260487027","227688","Best=0.006246521107056159,Worst=0.08244453522384387,Mean=0.01941043957113316,Stdev=0.015378650553515638."
"0.041953997438171145","88.4","71.88104000000001","0.10098227261818234","0.025056307960643436","score[0.025056307960643436]","86.38","84.46000000000001","1000","Unsupported","1000","Epoch=1000,Best=0.041953997438171145,Worst=0.041953997438171145,Mean=0.041953997438171145,Stdev=0.0.","2443.94","0.041953997438171145","0.19080818549887515","280.713376952364","226312","Best=0.025056307960643436,Worst=0.07904411034083178,Mean=0.04052890928784051,Stdev=0.007857372322667509."
"0.03812343572969922","88.0","76.90223999999999","0.09976703421734102","0.01772610968496303","score[0.01772610968496303]","87.58","85.18","1000","Unsupported","1000","Epoch=1000,Best=0.03812343572969922,Worst=0.03812343572969922,Mean=0.03812343572969922,Stdev=0.0.","2180.24","0.03812343572969922","0.15355807557486825","279.1415411578864","226234","Best=0.01772610968496303,Worst=0.08237813660825274,Mean=0.038362126423844296,Stdev=0.01362564018370825."
