# Experimental Run Mon Feb 04 19:31:24 CST 2008
Antigen Average Diversity (AAD),Average B-Cell BMU Per Antigen (ABC-BMU/Antigen),Average B-Cell Diversity (ABCD),Average B-Cell Error (ABCE),Average T-Cell BMU Per Antigen (ATC-BMU/Antigen),Average T-Cell Diversity (ATCD),Average T-Cell Error (ATCE),Average T-Cell Mapping Error (ATCME),Average T-Cell Selected Set Mapping Error (ATCSSME),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"86.38000000000002","100.0","88.34280000000003","0.001763199432129703","100.0","86.20659999999992","0.09063644096146072","87.534","23.8","0.3694162442522447","score[0.3694162442522447]","6.691729720097808","838.0","0.27995993288401017","84.1","0.6691729720097808","83.8","1000","-1","1000","Epoch=1000,Best=0.6691729720097808,Worst=0.6691729720097808,Mean=0.6691729720097808,Stdev=0.0.","170031","Best=0.3694162442522447,Worst=0.964223070532276,Mean=0.6737337577789911,Stdev=0.10305443568852225."
"87.57999999999998","100.0","90.27139999999994","0.0015105404269699176","100.0","86.74659999999999","0.07722634178529328","89.17200000000001","25.3","0.28937021294088816","score[0.28937021294088816]","8.45885268463706","817.0","0.39432668930941617","84.08","0.845885268463706","81.7","1000","-1","1000","Epoch=1000,Best=0.845885268463706,Worst=0.845885268463706,Mean=0.845885268463706,Stdev=0.0.","166906","Best=0.28937021294088816,Worst=0.8857831221247405,Mean=0.6269651326764695,Stdev=0.11003981833398248."
"86.28","100.0","88.93259999999997","0.004667830655448395","100.0","89.54679999999999","0.11510823759226516","90.14","39.9","0.2883008993955752","score[0.2883008993955752]","7.756407043137699","851.0","0.35733353296397585","80.89999999999999","0.7756407043137699","85.1","1000","-1","1000","Epoch=1000,Best=0.7756407043137699,Worst=0.7756407043137699,Mean=0.7756407043137699,Stdev=0.0.","151625","Best=0.2883008993955752,Worst=0.9443912218297232,Mean=0.6747717365683149,Stdev=0.10865440344108833."
"86.11999999999998","100.0","90.08900000000003","0.004491053770605319","100.0","87.81419999999997","0.06425329126943816","89.568","27.2","0.18520032486515664","score[0.18520032486515664]","5.554893878760171","830.0","0.254961497406304","83.16","0.5554893878760171","83.0","1000","-1","1000","Epoch=1000,Best=0.5554893878760171,Worst=0.5554893878760171,Mean=0.5554893878760171,Stdev=0.0.","151641","Best=0.18520032486515664,Worst=0.7764686307976619,Mean=0.48652419437194616,Stdev=0.08276652776841302."
"85.46000000000001","100.0","87.29299999999999","5.527438008424378E-4","100.0","86.4594","0.09688622743817535","87.70200000000001","30.9","0.26360156497108317","score[0.26360156497108317]","4.765042755382681","847.0","0.20982227030057138","80.88","0.47650427553826813","84.7","1000","-1","1000","Epoch=1000,Best=0.47650427553826813,Worst=0.47650427553826813,Mean=0.47650427553826813,Stdev=0.0.","151515","Best=0.26360156497108317,Worst=0.9165283393673395,Mean=0.6422089717453714,Stdev=0.09335717386364577."
"87.06000000000002","100.0","89.75440000000002","7.564057542049457E-4","100.0","88.52479999999997","0.09041124991086245","90.43999999999998","32.3","0.28027555312992414","score[0.28027555312992414]","5.098470153453936","805.0","0.23626289548892934","83.28","0.5098470153453936","80.5","1000","-1","1000","Epoch=1000,Best=0.5098470153453936,Worst=0.5098470153453936,Mean=0.5098470153453936,Stdev=0.0.","151578","Best=0.28027555312992414,Worst=0.8208509613520449,Mean=0.5875091905590294,Stdev=0.08719772747766642."
"84.74","100.0","90.44639999999998","0.003527128563532969","100.0","87.87600000000002","0.16577585524212415","90.502","34.1","0.4061333180914798","score[0.4061333180914798]","8.265667485311035","875.0","0.35916335511744907","82.76","0.8265667485311035","87.5","1000","-1","1000","Epoch=1000,Best=0.8265667485311035,Worst=0.8265667485311035,Mean=0.8265667485311035,Stdev=0.0.","151843","Best=0.4061333180914798,Worst=1.0654845275616132,Mean=0.7600883007539126,Stdev=0.1033568347345669."
"87.12000000000002","100.0","89.49719999999999","0.005133674233773176","100.0","88.13179999999998","0.09597163190753044","89.715","38.7","0.31461457423937644","score[0.31461457423937644]","6.951568977080665","849.0","0.3043339648546063","79.7","0.6951568977080665","84.9","1000","-1","1000","Epoch=1000,Best=0.6951568977080665,Worst=0.6951568977080665,Mean=0.6951568977080665,Stdev=0.0.","151860","Best=0.31461457423937644,Worst=0.9084972865703722,Mean=0.6368536336169806,Stdev=0.09860323373068665."
"85.9","100.0","89.80519999999997","0.0029335579013462084","100.0","88.62680000000002","0.11047986433021764","90.705","41.0","0.3238730077123683","score[0.3238730077123683]","6.400072290095848","846.0","0.2781547840219501","82.53999999999999","0.6400072290095848","84.6","1000","-1","1000","Epoch=1000,Best=0.6400072290095848,Worst=0.6400072290095848,Mean=0.6400072290095848,Stdev=0.0.","151515","Best=0.3238730077123683,Worst=0.8939848737891879,Mean=0.6472540429622069,Stdev=0.10266241798493102."
"87.4","100.0","90.07839999999999","0.0025702763566479497","100.0","88.79459999999997","0.09731360107442738","90.71200000000002","34.9","0.2253396931211075","score[0.2253396931211075]","5.775839574771815","831.0","0.2403583181774563","83.34","0.5775839574771815","83.1","1000","-1","1000","Epoch=1000,Best=0.5775839574771815,Worst=0.5775839574771815,Mean=0.5775839574771815,Stdev=0.0.","151453","Best=0.2253396931211075,Worst=0.8789765710122823,Mean=0.5826192864578915,Stdev=0.1040388168700887."
