# Experimental Run Mon Feb 11 23:11:34 CST 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average BMU Per Antigen (ABMU/Antigen),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Average Cell Mapped Diversity (ACMD),Average Mapped BMU Euclidean Error (AMBMUEE),Average Mapped BMU Hamming Error (AMBMUHE),Average Network Cell Diversity (ANCD),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Response Error (RE),Run Time Milliseconds,Score Summary
"NaN","86.11999999999998","NaN","91.90740000000005","91.90740000000005","NaN","92.65160000000002","0.18246709665097882","92.8","184.55900000000005","0.3323919373882994","score[0.3323919373882994]","7.007278162988584","961.0","NaN","77.18","0.7007278162988584","96.1","1000","-1","1000","Epoch=1000,Best=0.7007278162988584,Worst=0.7007278162988584,Mean=0.7007278162988584,Stdev=0.0.","0.7007278162988584","184204","Best=0.3323919373882994,Worst=0.8306183080486281,Mean=0.5978222211890005,Stdev=0.07107179267491834."
"NaN","85.46000000000001","NaN","92.01599999999999","92.01599999999999","NaN","91.78960000000001","0.1797206884191636","91.4","183.80559999999997","0.44293863207844286","score[0.44293863207844286]","6.8353301108450655","1005.0","NaN","82.72","0.6835330110845066","100.5","1000","-1","1000","Epoch=1000,Best=0.6835330110845066,Worst=0.6835330110845066,Mean=0.6835330110845066,Stdev=0.0.","0.6835330110845066","184203","Best=0.44293863207844286,Worst=0.8774033196893501,Mean=0.66649683177732,Stdev=0.0691142706335075."
"NaN","87.06000000000002","NaN","91.87499999999999","91.87499999999999","NaN","91.8668","0.17915640898862595","95.3","183.74179999999996","0.40688555913968505","score[0.40688555913968505]","6.485471817254291","958.0","NaN","83.14","0.6485471817254291","95.8","1000","-1","1000","Epoch=1000,Best=0.6485471817254291,Worst=0.6485471817254291,Mean=0.6485471817254291,Stdev=0.0.","0.6485471817254291","184141","Best=0.40688555913968505,Worst=0.8142377509245786,Mean=0.6270658330127774,Stdev=0.07344004456169405."
"NaN","84.74","NaN","91.28000000000002","91.28000000000002","NaN","92.24699999999997","0.21249504868711194","96.5","183.52700000000004","0.48611558665147675","score[0.48611558665147675]","6.405932573521826","950.0","NaN","74.97999999999999","0.6405932573521826","95.0","1000","-1","1000","Epoch=1000,Best=0.6405932573521826,Worst=0.6405932573521826,Mean=0.6405932573521826,Stdev=0.0.","0.6405932573521826","184156","Best=0.48611558665147675,Worst=0.9539796493566577,Mean=0.7130258363090157,Stdev=0.0788209590204234."
"NaN","87.12000000000002","NaN","91.08020000000006","91.08020000000006","NaN","92.33240000000002","0.14039542877763653","91.6","183.4126","0.4180039074788394","score[0.4180039074788394]","6.997345984770765","970.0","NaN","84.16","0.6997345984770764","97.0","1000","-1","1000","Epoch=1000,Best=0.6997345984770764,Worst=0.6997345984770764,Mean=0.6997345984770764,Stdev=0.0.","0.6997345984770764","184031","Best=0.4180039074788394,Worst=0.8911831019769278,Mean=0.6489340047516422,Stdev=0.07624534664119541."
"NaN","85.9","NaN","91.49100000000003","91.49100000000003","NaN","92.11959999999999","0.18065575335453601","92.6","183.61059999999998","0.43043390673024956","score[0.43043390673024956]","6.687773860060147","963.0","NaN","73.6","0.6687773860060147","96.3","1000","-1","1000","Epoch=1000,Best=0.6687773860060147,Worst=0.6687773860060147,Mean=0.6687773860060147,Stdev=0.0.","0.6687773860060147","184266","Best=0.43043390673024956,Worst=0.870877559743529,Mean=0.6465950533018587,Stdev=0.07191858226644679."
"NaN","87.4","NaN","92.32539999999997","92.32539999999997","NaN","92.11319999999999","0.18791346473435572","95.9","184.43859999999998","0.3434969852488822","score[0.3434969852488822]","5.919926632964021","1004.0","NaN","80.76","0.5919926632964021","100.4","1000","-1","1000","Epoch=1000,Best=0.5919926632964021,Worst=0.5919926632964021,Mean=0.5919926632964021,Stdev=0.0.","0.5919926632964021","184140","Best=0.3434969852488822,Worst=0.844405467847254,Mean=0.6234478323876161,Stdev=0.07142121577056781."
"NaN","83.9","NaN","91.2254","91.2254","NaN","91.58720000000001","0.14384649094758492","97.5","182.81260000000006","0.4487372465930538","score[0.4487372465930538]","6.29937761552096","941.0","NaN","78.4","0.629937761552096","94.1","1000","-1","1000","Epoch=1000,Best=0.629937761552096,Worst=0.629937761552096,Mean=0.629937761552096,Stdev=0.0.","0.629937761552096","184125","Best=0.4487372465930538,Worst=0.919415938713005,Mean=0.698066060589599,Stdev=0.07300401280659666."
"NaN","87.12","NaN","92.557","92.557","NaN","92.17859999999999","0.2167139093067338","95.5","184.73560000000015","0.3782597392072512","score[0.3782597392072512]","5.576036577823385","971.0","NaN","86.06000000000002","0.5576036577823384","97.1","1000","-1","1000","Epoch=1000,Best=0.5576036577823384,Worst=0.5576036577823384,Mean=0.5576036577823384,Stdev=0.0.","0.5576036577823384","184250","Best=0.3782597392072512,Worst=0.869264285017789,Mean=0.6410553228026377,Stdev=0.07157920534097074."
"NaN","86.88000000000001","NaN","91.90519999999998","91.90519999999998","NaN","91.23219999999999","0.16765749743154312","91.9","183.13739999999996","0.399177151443962","score[0.399177151443962]","6.389012272286167","975.0","NaN","82.46","0.6389012272286168","97.5","1000","-1","1000","Epoch=1000,Best=0.6389012272286168,Worst=0.6389012272286168,Mean=0.6389012272286168,Stdev=0.0.","0.6389012272286168","184062","Best=0.399177151443962,Worst=0.8567167761935472,Mean=0.5985738683234605,Stdev=0.07301606889106663."
"NaN","86.82000000000001","NaN","91.19280000000005","91.19280000000005","NaN","92.09920000000002","0.17607970970563608","89.0","183.29200000000003","0.4421360527153008","score[0.4421360527153008]","7.652950610931778","934.0","NaN","78.06000000000002","0.7652950610931778","93.4","1000","-1","1000","Epoch=1000,Best=0.7652950610931778,Worst=0.7652950610931778,Mean=0.7652950610931778,Stdev=0.0.","0.7652950610931778","184110","Best=0.4421360527153008,Worst=0.9461904831741125,Mean=0.694976625898259,Stdev=0.07675599460938207."
"NaN","85.56000000000002","NaN","91.97200000000001","91.97200000000001","NaN","90.52619999999999","0.1623778954607437","95.5","182.49819999999997","0.3866019562248966","score[0.3866019562248966]","5.977918761912255","943.0","NaN","82.9","0.5977918761912255","94.3","1000","-1","1000","Epoch=1000,Best=0.5977918761912255,Worst=0.5977918761912255,Mean=0.5977918761912255,Stdev=0.0.","0.5977918761912255","184219","Best=0.3866019562248966,Worst=0.9330174436069008,Mean=0.6863079430756709,Stdev=0.08408039718512653."
"NaN","87.48","NaN","92.46799999999999","92.46799999999999","NaN","91.75319999999999","0.23473478140843915","95.2","184.22120000000004","0.3189800919169899","score[0.3189800919169899]","5.87035828805247","964.0","NaN","83.08000000000001","0.5870358288052471","96.4","1000","-1","1000","Epoch=1000,Best=0.5870358288052471,Worst=0.5870358288052471,Mean=0.5870358288052471,Stdev=0.0.","0.5870358288052471","184016","Best=0.3189800919169899,Worst=0.8826548415701645,Mean=0.6264862595718038,Stdev=0.07860292456471539."
"NaN","87.1","NaN","92.2558","92.2558","NaN","92.79819999999998","0.15211167727112018","95.2","185.054","0.43378861085840237","score[0.43378861085840237]","6.465468483535431","931.0","NaN","80.84","0.646546848353543","93.1","1000","-1","1000","Epoch=1000,Best=0.646546848353543,Worst=0.646546848353543,Mean=0.646546848353543,Stdev=0.0.","0.646546848353543","184219","Best=0.43378861085840237,Worst=0.8754785407413408,Mean=0.6623111255153786,Stdev=0.07556292328462089."
"NaN","86.72","NaN","92.30899999999998","92.30899999999998","NaN","91.04239999999999","0.22353670879936086","97.3","183.35139999999998","0.4036583282680343","score[0.4036583282680343]","5.80240368634938","947.0","NaN","82.62000000000002","0.580240368634938","94.7","1000","-1","1000","Epoch=1000,Best=0.580240368634938,Worst=0.580240368634938,Mean=0.580240368634938,Stdev=0.0.","0.580240368634938","184031","Best=0.4036583282680343,Worst=0.8570043071133642,Mean=0.6450080698972254,Stdev=0.07576703675534757."
"NaN","87.32","NaN","91.77640000000001","91.77640000000001","NaN","91.63519999999998","0.21619289339682993","94.2","183.41160000000002","0.4152428224582831","score[0.4152428224582831]","7.472180382389112","980.0","NaN","81.64","0.7472180382389112","98.0","1000","-1","1000","Epoch=1000,Best=0.7472180382389112,Worst=0.7472180382389112,Mean=0.7472180382389112,Stdev=0.0.","0.7472180382389112","184141","Best=0.4152428224582831,Worst=0.9563741456732732,Mean=0.6891555092441638,Stdev=0.08310383424639213."
"NaN","86.25999999999999","NaN","91.07780000000002","91.07780000000002","NaN","91.98500000000001","0.18447820203001294","95.9","183.06279999999998","0.36839194913773243","score[0.36839194913773243]","5.632911879386965","919.0","NaN","84.35999999999999","0.5632911879386965","91.9","1000","-1","1000","Epoch=1000,Best=0.5632911879386965,Worst=0.5632911879386965,Mean=0.5632911879386965,Stdev=0.0.","0.5632911879386965","184188","Best=0.36839194913773243,Worst=0.8227774520110293,Mean=0.6245884638114656,Stdev=0.06496471732178254."
