# Experimental Run Tue Feb 12 02:15:43 CST 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average BMU Per Antigen (ABMU/Antigen),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Average Cell Mapped Diversity (ACMD),Average Mapped BMU Euclidean Error (AMBMUEE),Average Mapped BMU Hamming Error (AMBMUHE),Average Network Cell Diversity (ANCD),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Response Error (RE),Run Time Milliseconds,Score Summary
"NaN","86.85999999999999","NaN","91.91580000000005","91.91580000000005","NaN","91.2388","0.16889951960423857","98.2","183.1546","0.2807020365154756","score[0.2807020365154756]","3.737423891037354","979.0","NaN","74.28","0.37374238910373536","97.9","1000","-1","1000","Epoch=1000,Best=0.37374238910373536,Worst=0.37374238910373536,Mean=0.37374238910373536,Stdev=0.0.","0.37374238910373536","184171","Best=0.2807020365154756,Worst=0.6622292010991272,Mean=0.475308311528229,Stdev=0.06516470452420522."
"NaN","85.58","NaN","91.68779999999998","91.68779999999998","NaN","92.44899999999998","0.19470052102602203","97.4","184.13680000000005","0.3120029199587707","score[0.3120029199587707]","6.46864644380065","989.0","NaN","79.6","0.646864644380065","98.9","1000","-1","1000","Epoch=1000,Best=0.646864644380065,Worst=0.646864644380065,Mean=0.646864644380065,Stdev=0.0.","0.646864644380065","184078","Best=0.3120029199587707,Worst=0.7050295718624715,Mean=0.4987295308463563,Stdev=0.06446067109404777."
"NaN","86.64","NaN","91.51739999999997","91.51739999999997","NaN","91.70739999999995","0.1792736567046299","94.9","183.22480000000007","0.33753920076026894","score[0.33753920076026894]","6.866760168709712","938.0","NaN","81.6","0.6866760168709712","93.8","1000","-1","1000","Epoch=1000,Best=0.6866760168709712,Worst=0.6866760168709712,Mean=0.6866760168709712,Stdev=0.0.","0.6866760168709712","184437","Best=0.33753920076026894,Worst=0.7608026401832346,Mean=0.5479060355770656,Stdev=0.0707042127538488."
"NaN","85.86","NaN","91.59500000000001","91.59500000000001","NaN","91.94940000000003","0.14093181413817812","91.3","183.54440000000002","0.3592981264994167","score[0.3592981264994167]","5.823394151644715","960.0","NaN","84.22","0.5823394151644715","96.0","1000","-1","1000","Epoch=1000,Best=0.5823394151644715,Worst=0.5823394151644715,Mean=0.5823394151644715,Stdev=0.0.","0.5823394151644715","183969","Best=0.3592981264994167,Worst=0.7485495603628513,Mean=0.5525499151757897,Stdev=0.06980129581740573."
"NaN","84.9","NaN","92.3266","92.3266","NaN","92.35539999999999","0.1736156400377625","93.8","184.68200000000004","0.3030581854179339","score[0.3030581854179339]","4.666231740040337","953.0","NaN","74.12","0.46662317400403375","95.3","1000","-1","1000","Epoch=1000,Best=0.46662317400403375,Worst=0.46662317400403375,Mean=0.46662317400403375,Stdev=0.0.","0.46662317400403375","184188","Best=0.3030581854179339,Worst=0.8301332733598784,Mean=0.557816312801089,Stdev=0.07925917829606823."
"NaN","86.5","NaN","91.601","91.601","NaN","91.15480000000004","0.11582558745047385","93.9","182.75580000000005","0.34175331234635065","score[0.34175331234635065]","4.813009626478316","959.0","NaN","78.56","0.4813009626478316","95.9","1000","-1","1000","Epoch=1000,Best=0.4813009626478316,Worst=0.4813009626478316,Mean=0.4813009626478316,Stdev=0.0.","0.4813009626478316","183937","Best=0.34175331234635065,Worst=0.7069409314221806,Mean=0.5176485724936304,Stdev=0.061448956002552256."
"NaN","85.46000000000001","NaN","91.90800000000003","91.90800000000003","NaN","91.52339999999998","0.17236001908716198","94.7","183.43140000000005","0.3539405666455845","score[0.3539405666455845]","6.989793009904935","956.0","NaN","83.25999999999999","0.6989793009904935","95.6","1000","-1","1000","Epoch=1000,Best=0.6989793009904935,Worst=0.6989793009904935,Mean=0.6989793009904935,Stdev=0.0.","0.6989793009904935","184016","Best=0.3539405666455845,Worst=0.8177971610189564,Mean=0.5717349473026335,Stdev=0.07565031487270359."
"NaN","86.7","NaN","91.99059999999996","91.99059999999996","NaN","91.4366","0.23957710707573518","93.2","183.42720000000006","0.36551287580704517","score[0.36551287580704517]","6.878398054742106","927.0","NaN","78.6","0.6878398054742105","92.7","1000","-1","1000","Epoch=1000,Best=0.6878398054742105,Worst=0.6878398054742105,Mean=0.6878398054742105,Stdev=0.0.","0.6878398054742105","183828","Best=0.36551287580704517,Worst=0.7745304753497847,Mean=0.5530827296139863,Stdev=0.07396091375894519."
"NaN","86.64000000000001","NaN","91.62139999999998","91.62139999999998","NaN","91.89659999999995","0.24459054730886595","91.2","183.51799999999992","0.2993452615047233","score[0.2993452615047233]","5.248620608325199","971.0","NaN","73.06","0.5248620608325198","97.1","1000","-1","1000","Epoch=1000,Best=0.5248620608325198,Worst=0.5248620608325198,Mean=0.5248620608325198,Stdev=0.0.","0.5248620608325198","184140","Best=0.2993452615047233,Worst=0.6451535965071428,Mean=0.47172815976920857,Stdev=0.06192372241366531."
"NaN","85.58","NaN","91.73000000000003","91.73000000000003","NaN","91.64659999999998","0.2797261527568606","92.4","183.37659999999994","0.3183159447535","score[0.3183159447535]","6.381241527455636","956.0","NaN","62.739999999999995","0.6381241527455636","95.6","1000","-1","1000","Epoch=1000,Best=0.6381241527455636,Worst=0.6381241527455636,Mean=0.6381241527455636,Stdev=0.0.","0.6381241527455636","184063","Best=0.3183159447535,Worst=0.7195820392272849,Mean=0.5149191349995068,Stdev=0.07346558801805267."
