# Experimental Run Tue Feb 12 00:43:40 CST 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average BMU Per Antigen (ABMU/Antigen),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Average Cell Mapped Diversity (ACMD),Average Mapped BMU Euclidean Error (AMBMUEE),Average Mapped BMU Hamming Error (AMBMUHE),Average Network Cell Diversity (ANCD),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Response Error (RE),Run Time Milliseconds,Score Summary
"NaN","86.38000000000002","NaN","91.77660000000002","91.77660000000002","NaN","92.03200000000001","0.11789089668537814","91.0","183.8086","0.40297355871232676","score[0.40297355871232676]","6.880456971875761","970.0","NaN","80.61999999999999","0.6880456971875761","97.0","1000","-1","1000","Epoch=1000,Best=0.6880456971875761,Worst=0.6880456971875761,Mean=0.6880456971875761,Stdev=0.0.","0.6880456971875761","184016","Best=0.40297355871232676,Worst=0.865966034542312,Mean=0.6611380757692376,Stdev=0.0702286407479418."
"NaN","87.57999999999998","NaN","91.59359999999998","91.59359999999998","NaN","92.68040000000005","0.17341690187218273","93.7","184.274","0.4223714373083808","score[0.4223714373083808]","7.636040375635536","908.0","NaN","81.1","0.7636040375635537","90.8","1000","-1","1000","Epoch=1000,Best=0.7636040375635537,Worst=0.7636040375635537,Mean=0.7636040375635537,Stdev=0.0.","0.7636040375635537","184312","Best=0.4223714373083808,Worst=0.8868502375070431,Mean=0.6479406754476547,Stdev=0.06752490090894671."
"NaN","86.28","NaN","91.71220000000005","91.71220000000005","NaN","92.23400000000004","0.18416836679702758","99.1","183.94619999999998","0.3972646803692005","score[0.3972646803692005]","7.150800369587243","961.0","NaN","86.3","0.7150800369587242","96.1","1000","-1","1000","Epoch=1000,Best=0.7150800369587242,Worst=0.7150800369587242,Mean=0.7150800369587242,Stdev=0.0.","0.7150800369587242","184282","Best=0.3972646803692005,Worst=0.8695716481457476,Mean=0.6603308355086713,Stdev=0.08200413647937795."
"NaN","86.11999999999998","NaN","91.7942","91.7942","NaN","92.29199999999999","0.1466823940403114","90.9","184.08620000000008","0.3397679020415381","score[0.3397679020415381]","5.248654473682895","1002.0","NaN","80.67999999999999","0.5248654473682894","100.2","1000","-1","1000","Epoch=1000,Best=0.5248654473682894,Worst=0.5248654473682894,Mean=0.5248654473682894,Stdev=0.0.","0.5248654473682894","184218","Best=0.3397679020415381,Worst=0.7537172855733305,Mean=0.5689837833825816,Stdev=0.06475772355357604."
"NaN","85.46000000000001","NaN","92.39780000000005","92.39780000000005","NaN","92.0816","0.17978648942530046","91.6","184.4793999999999","0.4477500855111475","score[0.4477500855111475]","5.534926282265946","972.0","NaN","80.22","0.5534926282265946","97.2","1000","-1","1000","Epoch=1000,Best=0.5534926282265946,Worst=0.5534926282265946,Mean=0.5534926282265946,Stdev=0.0.","0.5534926282265946","184312","Best=0.4477500855111475,Worst=0.8888102697115086,Mean=0.6464884801370067,Stdev=0.07122025096575393."
"NaN","87.06000000000002","NaN","91.45620000000004","91.45620000000004","NaN","91.49340000000001","0.22701187588242527","95.8","182.94960000000003","0.38698000171883806","score[0.38698000171883806]","6.219410405607202","965.0","NaN","86.32000000000001","0.6219410405607202","96.5","1000","-1","1000","Epoch=1000,Best=0.6219410405607202,Worst=0.6219410405607202,Mean=0.6219410405607202,Stdev=0.0.","0.6219410405607202","184188","Best=0.38698000171883806,Worst=0.7897271224821686,Mean=0.5944453923112767,Stdev=0.06463854129931135."
"NaN","84.74","NaN","91.51159999999999","91.51159999999999","NaN","92.18379999999998","0.16703085164848377","92.4","183.6954","0.4404006954011207","score[0.4404006954011207]","6.974554597867968","967.0","NaN","77.36","0.6974554597867968","96.7","1000","-1","1000","Epoch=1000,Best=0.6974554597867968,Worst=0.6974554597867968,Mean=0.6974554597867968,Stdev=0.0.","0.6974554597867968","184172","Best=0.4404006954011207,Worst=0.997731074790052,Mean=0.7327451188236145,Stdev=0.08486004866417028."
"NaN","87.12000000000002","NaN","91.8334","91.8334","NaN","91.72419999999998","0.14340466978349634","96.5","183.55760000000006","0.3924049592563525","score[0.3924049592563525]","6.176369113677808","985.0","NaN","84.02000000000001","0.6176369113677808","98.5","1000","-1","1000","Epoch=1000,Best=0.6176369113677808,Worst=0.6176369113677808,Mean=0.6176369113677808,Stdev=0.0.","0.6176369113677808","184203","Best=0.3924049592563525,Worst=0.8126333412035477,Mean=0.6313726273503902,Stdev=0.07031919847294253."
"NaN","85.9","NaN","92.0804","92.0804","NaN","91.87660000000001","0.14633957647913118","95.7","183.95700000000005","0.3809442641731801","score[0.3809442641731801]","6.3777789568383","977.0","NaN","84.0","0.63777789568383","97.7","1000","-1","1000","Epoch=1000,Best=0.63777789568383,Worst=0.63777789568383,Mean=0.63777789568383,Stdev=0.0.","0.63777789568383","184219","Best=0.3809442641731801,Worst=0.8592511471062366,Mean=0.6450499085598881,Stdev=0.0747497286070709."
"NaN","87.4","NaN","91.04220000000005","91.04220000000005","NaN","91.96140000000001","0.19699791466585065","96.6","183.00359999999998","0.41743287048882927","score[0.41743287048882927]","6.736755999197196","971.0","NaN","82.58","0.6736755999197196","97.1","1000","-1","1000","Epoch=1000,Best=0.6736755999197196,Worst=0.6736755999197196,Mean=0.6736755999197196,Stdev=0.0.","0.6736755999197196","184328","Best=0.41743287048882927,Worst=0.8269067431426096,Mean=0.6280591524386162,Stdev=0.0678187020156088."
